X	Y_20180212_14590_10_1g	Y_20180212_14590_10_2g	Y_20180212_14590_11_1g	Y_20180212_14590_12_1g	Y_20180212_14590_12_2g	Y_20180212_14590_13_1g	Y_20180212_14590_14_1g	Y_20180212_14590_18_1g	Y_20180212_14590_18_2g	Y_20180212_14590_18_3g	Y_20180212_14590_18_4g	Y_20180212_14590_18_5g	Y_20180212_14590_19_1g	Y_20180212_14590_19_2g	Y_20180212_14590_1_1g	Y_20180212_14590_1_2g	Y_20180212_14590_1_3g	Y_20180212_14590_1_4g	Y_20180212_14590_1_5g	Y_20180212_14590_21_1g	Y_20180212_14590_21_2g	Y_20180212_14590_23_1g	Y_20180212_14590_24_1g	Y_20180212_14590_24_2g	Y_20180212_14590_26_1g	Y_20180212_14590_26_2g	Y_20180212_14590_2_1g	Y_20180212_14590_2_2g	Y_20180212_14590_2_3g	Y_20180212_14590_2_4g	Y_20180212_14590_2_5g	Y_20180212_14590_30_1g	Y_20180212_14590_30_2g	Y_20180212_14590_31_1g	Y_20180212_14590_31_2g	Y_20180212_14590_34_1g	Y_20180212_14590_37_1g	Y_20180212_14590_37_2g	Y_20180212_14590_38_1g	Y_20180212_14590_38_2g	Y_20180212_14590_39_1g	Y_20180212_14590_3_1g	Y_20180212_14590_3_2g	Y_20180212_14590_3_3g	Y_20180212_14590_3_4g	Y_20180212_14590_3_5g	Y_20180212_14590_3_6g	Y_20180212_14590_40_1g	Y_20180212_14590_40_2g	Y_20180212_14590_40_3g	Y_20180212_14590_40_4g	Y_20180212_14590_41_1g	Y_20180212_14590_41_2g	Y_20180212_14590_41_3g	Y_20180212_14590_44_1g	Y_20180212_14590_5_1g	Y_20180212_14590_5_2g	Y_20180212_14590_9_1g
1.3342	18703.867	20514.098	14947.512	19303.238	16661.252	16296.954	16933.773	16753.223	18412.172	17056.625	18879.697	28113.146	20723.314	26112.203	27407.846	19003.949	30377.289	24331.678	20113.258	18338.738	17807.727	20539.994	20253.295	26827.146	19218.322	19212.773	26088.84	17270.242	NaN	21207.912	16657.803	17339.928	19608.047	20504.461	24651.975	18034.723	16680.51	13997.041	17988.219	29796.238	17293.67	38324.781	17993.588	NaN	18528.811	20968.098	29897.281	25953.693	14070.895	15158.729	17607.543	21622.15	35522.715	22213.188	20181.738	23053.197	21826.414	16990.34
1.4676	17144.805	17539.684	15699.817	18921.807	18256.352	14793.523	18608.047	17555.133	17157.438	18256.475	19771.852	34369.039	20632.438	30361.822	34985.258	18606.582	28131.416	27162.283	21158.406	16850.355	18591.637	24982.986	21113.117	22292.877	19713.756	17709.426	27173.49	19550.402	NaN	24008.309	15944.225	20782.346	20705.709	22912.6	27025.391	19668.605	18284.008	13875.673	19317.799	NaN	16382.838	42785.156	18245.418	NaN	20434.906	20875.176	NaN	30657.643	14709.016	17398.559	17497.457	22880.457	37949.484	25113.635	19247.131	27409.051	24691.105	17669.863
1.6011	16262.034	NaN	16424.41	18470.625	20656.609	16000.358	19337.615	19007.121	17363.824	20153.627	20267.301	39583.656	20678.059	33082.742	41766.273	19150.035	24315.982	30132.047	21608.18	19651.898	20916.555	29603.156	25347.039	18932.094	22239.176	16321.247	23745.662	19824.629	NaN	23413.162	NaN	22611.332	22719.383	21858.512	21538.328	24518.492	21042.162	14244.223	18385.838	NaN	16463.652	41183.836	18923.633	NaN	24377.969	20864.404	NaN	34907.801	14888.948	22777.027	17863.371	24861.381	35010.5	29425.506	18937.746	33940.875	26633.139	18457.883
1.7345	16173.518	NaN	18402.129	17334.029	23106.713	18146.258	20599.559	21591.141	17475.652	23136.336	19450.863	NaN	23949.029	NaN	NaN	21178.812	NaN	34578.012	NaN	22763.621	25357.354	NaN	32213.9	NaN	26317.434	15535.366	NaN	20532.416	NaN	23395.852	NaN	22934.457	22151.346	20985.594	18377.51	27864.818	21412.871	13218.276	18243.545	NaN	16222.384	35926.805	20681.707	NaN	26313.471	19905.965	NaN	37760.227	15965.154	26434.354	19471.01	28307.225	30034.137	NaN	19457.543	33646.273	23786.812	18412.311
1.8679	NaN	NaN	20652.848	16837.512	25796.771	17982.926	22889.363	21530.25	20813.064	29221.322	17966.006	NaN	30417.199	NaN	NaN	22114.338	NaN	NaN	NaN	27065.568	27445.65	NaN	32648.777	NaN	25574.324	NaN	NaN	18960.836	NaN	NaN	NaN	21280.943	NaN	19233.285	16755.902	28100.887	NaN	12711.566	18829.566	NaN	15589.171	NaN	25258.641	NaN	27278.072	NaN	NaN	NaN	17300.246	28228.533	19274.615	33073.418	NaN	NaN	18793.703	29683.621	19574.828	18980.719
2.0013	NaN	NaN	20294.02	17007.357	NaN	18977.104	22448.803	21953.453	26715.48	34086.234	17935.678	NaN	39103.617	NaN	NaN	23371.318	NaN	NaN	NaN	25705.723	26859.051	NaN	28382.361	NaN	22051.268	NaN	NaN	19638.283	NaN	NaN	NaN	NaN	NaN	18477.252	16784.992	25520.275	NaN	13026.738	20050.812	NaN	15893.338	NaN	32274.4	NaN	NaN	NaN	NaN	NaN	NaN	27480.645	17878.736	35505.41	NaN	NaN	18053.062	NaN	17151.145	19552.805
2.1348	NaN	NaN	21872.844	NaN	NaN	21004.064	20446.197	20971.291	30863.936	34773.004	17361.176	NaN	NaN	NaN	NaN	24349.684	NaN	NaN	NaN	22758.568	25135.156	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17468.221	NaN	19843.332	NaN	12781.741	20698.941	NaN	16339.867	NaN	35637.312	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16661.291	NaN	NaN	NaN	17734.672	NaN	NaN	21634.602
2.2682	NaN	NaN	NaN	NaN	NaN	23478.115	18535.844	18746.943	32985.969	30312.738	NaN	NaN	NaN	NaN	NaN	22885.205	NaN	NaN	NaN	19620.107	22258.799	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13657.926	19760.75	NaN	17746.881	NaN	35583.273	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16265.584	NaN	NaN	NaN	16165.763	NaN	NaN	22405.098
2.4016	NaN	NaN	NaN	NaN	NaN	27189.848	17316.887	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15019.73	18145.979	NaN	21287.596	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15931.385	NaN	NaN	23183.623
2.535	NaN	NaN	NaN	NaN	NaN	31078.74	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16046.7	17067.432	NaN	24686.816	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23180.918
2.6684	NaN	NaN	NaN	NaN	NaN	33311.812	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14994.523	16280.297	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23036.844
2.8019	NaN	NaN	NaN	NaN	NaN	28847.141	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15692.518	15934.763	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15396.693	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
