x	Y_20181208_15692_30_4g	Y_20181208_15692_31_18g	Y_20181208_15692_31_6g	Y_20181208_15692_32_6g	Y_20181208_15692_33_10g	Y_20181208_15692_33_6g	Y_20181208_15692_36_5g	Y_20181208_15692_36_8g	Y_20181208_15692_36_9g	Y_20181208_15692_37_18g	Y_20181208_15692_37_4g	Y_20181208_15692_38_14g	Y_20181208_15692_38_5g	Y_20181208_15692_39_10g	Y_20181208_15692_39_8g	Y_20181208_15692_40_10g	Y_20181208_15692_40_12g	Y_20181208_15692_40_14g	Y_20181208_15692_42_14g	Y_20181208_15692_42_18g	Y_20181208_15692_42_1g	Y_20181208_15692_43_10g	Y_20181208_15692_43_18g	Y_20181208_15692_43_2g	Y_20181208_15692_44_16g	Y_20181208_15692_44_18g	Y_20181208_15692_44_2g	Y_20181208_15692_45_14g	Y_20181208_15692_45_9g	Y_20181208_15692_46_17g	Y_20181208_15692_46_18g	Y_20181208_15692_46_19g	Y_20181208_15692_46_3g	Y_20181208_15692_46_8g	Y_20181208_15692_6_7g	Y_20181208_15692_6_8g	Y_20181208_15692_7_11g	Y_20181208_15692_7_5g	Y_20181208_15692_7_7g	Y_20181208_15692_8_5g	Y_20181208_15692_8_8g
1.3342	13709.5176	15432.9414	12922.0889	14304.9775	12176.249	13739.7686	11899.0527	19108.5215	13270.4531	14653.6152	14606.1074	12842.6904	14873.0947	15835.6992	12112.1455	14088.5059	12788.5879	13309.2412	16246.6973	13455.9609	14654.3145	13338.4854	12866.7734	12562.0488	14493.5391	13427.2207	14956.2207	13030.001	12525.7275	14495.6396	13593.2949	12141.0928	10288.084	13138.6709	14817.0234	12216.2041	13335.8359	13450.3652	13433.8975	13518.1484	16291.4463
1.4676	13679.5645	15538.3789	12281.0381	13818.9648	11459.4189	13781.5654	11174.9238	18792.5293	12599.0928	14213.3525	13565.1074	12756.6357	12950.0527	15666.168	12095.5811	12729.7715	12131.6016	12344.6895	16571.084	12809.2051	14030.4551	12068.834	12868.085	12442.8193	14154.627	12749.3906	12971.0508	13215.623	11443.9697	12718.6221	15413.3955	12766.9102	10225.2637	12319.8506	14684.4814	12039.8613	12790.6924	13429.0957	13396.8398	12116.2334	16023.2148
1.6011	12896.2051	15390.998	11994.4629	13900.2451	11139.3457	13408.1943	11249.4941	18069.9316	13164.1963	13799.2979	13057.6953	12701.8154	12545.4404	14776.9834	11648.7285	11878.8496	11771.5576	12785.7168	14242.2334	13046.9814	13640.4531	11311.9277	11683.7617	12127.0605	14674.2871	12951.0381	12351.6816	14290.542	11418.8887	12053.7295	16057.2725	12110.3203	10682.835	11723.1602	14164.4199	12367.9678	13071.3535	13109.8408	13473.1338	12315.9424	15987.5264
1.7345	12210.3271	14583.3506	12169.8984	14279.6523	11070.2021	13138.5967	10582.3994	16834.2148	13199.9277	13967.918	12560.7451	12532.7031	12727.3545	13844.8975	11717.7539	11486.6055	11845.8447	12097.9072	12959.5078	13109.708	13221.5791	11288.6436	11196.2627	11452.084	14355.3691	11583.5645	11722.6709	14939.9502	11275.9736	11947.4219	15367.2451	12770.5381	11067.7803	12136.9893	14002.0918	11749.2764	13472.3447	11806.5303	12915.8584	12072.0547	14409.6699
1.8679	11701.7002	NaN	11687.6318	15060.833	10539.2432	12792.4531	10226.7031	15796.1387	13030.7051	13532.7695	12395.5605	12168.5801	11809.4102	NaN	11257.9961	10969.7656	12211.7969	11674.6914	13075.1357	12691.5449	12391.4736	11043.2949	11941.8486	11029.6055	13689.7402	11826.6631	11509.5156	14741.0518	NaN	12045.6328	13582.375	11899.6406	10380.6191	NaN	13957.5283	12268.4678	13032.0352	11835.1484	13125.1934	12098.8232	14572.4092
2.0013	11629.1914	NaN	11271.7969	14429.5117	NaN	12384.5342	9786.6494	14273.5684	12222.5508	12510.9453	11245.7051	12054.1416	11857.8271	NaN	11302.918	11084.5186	NaN	11327.0332	12491.5127	12748.3838	13124.4609	11019.5332	11349.1016	11112.9922	12569.9736	11691.1123	10868.2197	14560.3828	NaN	11963.1699	12609.4385	11109.2412	10016.5283	NaN	13602.7295	12070.5371	12154.7881	NaN	13037.7227	NaN	13377.7393
2.1347	11829.2744	NaN	NaN	13971.5469	NaN	12263.7227	9594.2939	13070.1338	11878.6035	11901.3105	11316.6348	NaN	NaN	NaN	NaN	11230.4385	NaN	NaN	12674.6494	12686.9922	NaN	10906.5967	NaN	10468.501	12483.2949	NaN	11303.623	14118.3691	NaN	11871.0791	11883.4492	11132.8291	10822.9004	NaN	14282.2217	NaN	12186.6309	NaN	NaN	NaN	13759.667
2.2682	11916.4395	NaN	NaN	13198.6504	NaN	12473.0771	NaN	12891.9561	11088.5166	11470.582	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12555.5605	NaN	NaN	10316.4648	NaN	NaN	11572.4062	NaN	NaN	13891.8652	NaN	11136.7666	NaN	11091.2041	NaN	NaN	13578.6318	NaN	11888.791	NaN	NaN	NaN	13166.1934
2.4016	NaN	NaN	NaN	12045.4258	NaN	NaN	NaN	13041.666	NaN	10630.085	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12190.9746	NaN	NaN	NaN	NaN	NaN	11524.3574	NaN	NaN	13643.876	NaN	NaN	NaN	11171.085	NaN	NaN	13099.1484	NaN	NaN	NaN	NaN	NaN	12461.8984
2.535	NaN	NaN	NaN	11349.8018	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12302.75	NaN	NaN	NaN	NaN	NaN	11009.9785	NaN	NaN	14404.375	NaN	NaN	NaN	NaN	NaN	NaN	13298.1963	NaN	NaN	NaN	NaN	NaN	12623.3506
2.6684	NaN	NaN	NaN	11050.4814	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.8019	NaN	NaN	NaN	11858.2139	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	11676.6514	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
