x	Y_20181208_15100_1_5g	Y_20181208_15100_13_1g	Y_20181208_15100_15_2g	Y_20181208_15100_18_6g	Y_20181208_15100_19_6g	Y_20181208_15100_21_1g	Y_20181208_15100_5_10g	Y_20181208_15100_5_3g	Y_20181208_15100_5_5g	Y_20181208_15100_7_9g	Y_20181208_15100_8_5g	Y_20181208_15100b_1_3g	Y_20181208_15100b_11_1g	Y_20181208_15100b_13_11g	Y_20181208_15100b_15_10g	Y_20181208_15100b_15_3g	Y_20181208_15100b_15_8g	Y_20181208_15100b_15_9g	Y_20181208_15100b_18_7g	Y_20181208_15100b_22_20g	Y_20181208_15100b_23_6g	Y_20181208_15100b_24_3g	Y_20181208_15100b_30_5g	Y_20181208_15100b_32_7g
0	31550.6016	27442.6289	30544.0215	32269.5703	31717.043	32476.4668	30543.1348	27093.9824	30962.1973	31472.8672	25687.8945	29872.8613	26450.4863	30274.7656	29733.8438	29468.3867	28242.2539	31150.127	25228.959	31250.8691	29878.3809	31554.2441	31186.8809	30017.0488
0.1334	29969.3633	27376.0898	30942.2266	32517.9062	30815.4766	30549.334	31190.8828	28096.1738	32821.0273	31598.4688	26283.0742	27883.4688	26841.9102	29950.6348	30475.834	31369.5293	27198.2949	31275.7305	25051.0918	31040.8242	29024.1094	31622.9082	29961.6406	31132.1582
0.2668	31695.3652	26042.3574	32302.2363	32938.6016	31254.9453	30947.2363	32731.7402	29610	32932.1641	31872.9648	25186.8672	29793.4668	27154.7988	29272.6758	30388.9219	32628.7812	27546.6309	31627.625	26189.2207	31181.1641	28349.8828	32365.3887	30881.6934	31204.6289
0.4003	30876.4395	26383.5059	31236.0645	33587.7734	31619.6797	32374.9629	32859.3008	28963.4082	32170.5117	31784.4492	26087.4824	29600.2324	26571.6953	30555.0449	30635.502	31623.9551	27749.1465	30317.1797	25064.3711	30902.8652	28448.832	32364.7168	31240.4746	30338.3223
0.5337	29346.4668	25964.7227	29720.7852	33786.5664	30996.2031	31791.1973	32057.1523	28530.2168	32460.5488	31108.9609	24998.1465	29097.2949	27461.7695	29164.8203	30659.2363	31578.6895	27120.4277	30379.5488	24196.5605	30921.8438	29050.877	32307.4375	29598.1914	29884.0879
0.6671	30999.6445	26985.6387	30694.0273	33771.1758	29957.3477	30257.6523	31583.7754	28132.0527	32625.8184	31384.8555	26261.6543	29290.5762	28052.0039	28755.5	31862.8809	32736.4297	26519.0762	31127.4902	25044.748	33074.9453	29819.0938	32527.0273	29818.2246	29628.6152
0.8005	31968.0098	26431.1035	31795.2539	33742.0977	31012.6309	29690.3984	31129.4961	27837.0527	32750.3535	30448.9238	25448.752	29587.6387	27020.9082	29210.0703	29364.5566	31422.4746	26817.1289	30298.3672	24903.7305	33942.1094	28869.1348	30893.334	31262.6191	31127.043
0.934	29801.6582	26662.8223	32306.1035	34405.6562	31418.3125	30858.8281	31022.2324	27098.334	31835.4551	29579.4492	25989.5547	30914.043	26214.9688	29109.168	29191.2969	31994.6719	25896.248	31681.0391	25931.2988	34519.5039	30053.334	31104.8789	30562.0781	30128.8613
1.0674	30648.7324	26231.707	31588.8809	34528.8594	30766.6562	30490.2812	31774.5352	27138.5625	33281.7266	29051.498	26976.2109	31003.7891	27405.0742	29134.4609	29317.5254	31272.3828	26855.4629	30091.5723	26013.7734	33514.5156	29698.3066	32419.7285	31370.6953	30312.9688
1.2008	31472.3652	27163.3438	31888.8984	34361.6641	31385.7715	30013.9102	30614.0586	28399.7871	33089.3008	29219.9277	28578.7383	29814.5391	28497.8418	28924.2441	29588.5195	32031.1699	27889.9961	30025.8438	25950.3945	33911.9688	31268.5137	31891.1777	33402.6406	32399.8164
