x	Y_20181208_15692b_10_4g	Y_20181208_15692b_10_6g	Y_20181208_15692b_11_14g	Y_20181208_15692b_11_6g	Y_20181208_15692b_12_11g	Y_20181208_15692b_12_7g	Y_20181208_15692b_13_5g	Y_20181208_15692b_15_4g	Y_20181208_15692b_16_8g	Y_20181208_15692b_17_1g	Y_20181208_15692b_2_6g	Y_20181208_15692b_3_7g	Y_20181208_15692b_5_3g	Y_20181208_15692b_6_2g	Y_20181208_15692b_8_1g	Y_20181208_15692b_8_6g	Y_20181208_15692b_8_8g	Y_20181208_15692b_9_5g
0	32235.7539	29198.2402	25347.4746	34388.4766	29571.3496	29754.2246	29172.7402	27829.7793	27792.0234	29739.7344	30294.9922	35427.3789	33750.3047	30202.6406	28137.6172	31195.8359	27778.2852	32371.6836
0.1334	33293.5273	28508.6914	27126.5879	34400.293	28853.3418	29410.1797	28208.375	28194.6758	27070.8828	30982.5508	31411.5039	36473.0781	33791.1797	28665.8516	29377.5664	32933.1719	29393.4629	32184.5684
0.2668	33200.1367	28563.8223	27940.0781	33692.5156	29183.4629	29426.5098	28801.2363	27755.2051	27157.4316	31191.8516	28817.9766	35451.668	34328.8164	28928.0332	27507.2559	33214.1758	28841.0996	32742.7285
0.4003	32198.3086	29148.6504	27564.1035	33477.4062	29338.9316	29418.1211	30926.5215	30056.0801	28402.7266	29321.8887	29671.5293	36526.2852	34464.1172	29595.7402	28006.4902	33190.9805	27849.0312	33467.0117
0.5337	31551.8633	30030.2969	26833.2637	33749.8789	29551.9258	30769.6504	30766.6738	30768.4609	28121	31221.9004	30930.9414	35912.5273	35176.5039	32333.2539	29970.5781	32323.6289	28467.5371	33563.5117
0.6671	30888.6465	30468.2637	28191.4453	33793.6094	30510.0625	30195.2246	30818.7754	28832.752	28584.0469	31555.0293	31123.8633	35220.4219	34819.5234	32518.2617	33063.2734	32642.875	29014.375	34647.4414
0.8005	31848.8301	32039.334	28375.2637	33564.4336	29326.8184	31339.6641	30614.9844	29944.0137	28432.8379	30547.0781	30339.6621	37245.7344	33448.8984	32655.5156	41987.8125	33094.1641	30011.0078	33825.1914
0.934	31743.5996	36977.2773	28922.498	36325.0898	30073.8711	32678.373	31045.9746	29563.5371	30082.2793	32947.3867	30757.2734	42702.1484	35578.3398	34937.2188	53466.5117	33806.8672	34482.293	35184.832
1.0674	33153.3477	48007.6758	31028.8457	37661.6484	30989.1055	32435.3398	36751.3594	28468.293	30217.3516	33191.3438	32520.1465	57575.7578	37420.4492	36666.2461	53750.2031	34106.9922	43118.6797	33969.5508
1.2008	34995.0039	70590.6172	38811.0391	44140.6328	34124.2695	33611.9141	46256.5078	30108.0625	30027.6562	35046.582	32406.3516	75979.4297	39247.8047	43586.332	46016.2695	36201.4609	49750.6836	32280.0078
1.3342	40697.3398	99117.7266	48524.293	63439.4688	38991.7773	37622.2227	47425.043	32657.6914	34201.6406	38610.293	34235.1445	68921.0859	39544.582	60012.9492	NaN	44032.3438	43514.1094	31192.4375
1.4676	47553.3906	97279.0078	50173.5156	82509.9844	45900.1211	49532.25	41117.8359	38999.0977	43706.4805	50948.9844	37925.1211	48789.0469	43869.5	75315.3047	NaN	62578.668	36985.2461	32251.373
1.6011	47742.2148	62244.207	40406.6133	76966.9688	44506.1445	63222.0234	35270.1172	47376.832	58690.7422	66603.6094	51282.6602	36083.5742	56949.3945	66344.6328	NaN	83550.1094	35304.5625	34245.9727
1.7345	40180.7461	49224.75	34674.6562	55992.9688	36875.2578	62135.0508	31205.0391	44143.4414	61290.5391	64018.8984	73105.1562	33553.8047	73356.0625	47851.9648	NaN	79715.2031	NaN	37182.2109
1.8679	34680.6172	NaN	30224.1328	42302.5625	34438.5664	48826.7812	30949.332	37293.2617	46628.3164	46669.8125	85117.2344	NaN	72975.9062	35459.7852	NaN	54877.9023	NaN	42044.4766
2.0013	32285.6484	NaN	28738.0625	35658.082	32966.0234	37255.5664	30817.5605	31961.6484	34796.875	37236.4922	69955.6016	NaN	54807.1797	34152.8984	NaN	42734.4258	NaN	55269.1445
2.1347	31742.7617	NaN	NaN	33271.9609	31432.8398	33320.9961	NaN	32666.7656	31294.1016	33134.832	47016.3398	NaN	39488.0508	33688.9062	NaN	37409.0234	NaN	59765.5859
2.2682	30446.1113	NaN	NaN	34996.0547	NaN	32303.3828	NaN	36383.9531	31131.7031	33589.7852	38624.5117	NaN	37936.0273	NaN	NaN	35755.2383	NaN	50851.5469
2.4016	NaN	NaN	NaN	NaN	NaN	31949.166	NaN	NaN	NaN	NaN	34848.7539	NaN	32958.9336	NaN	NaN	35724.9375	NaN	40856.293
2.535	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32647.082	NaN	33584.5	NaN	NaN	NaN	NaN	35212.5195
2.6684	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30827.3594	NaN	33741.2266	NaN	NaN	NaN	NaN	32827.8594
2.8019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31504.4785	NaN	NaN	NaN	NaN	NaN	NaN	32164.2129
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
