x	Y_20181208_15692_31_1g	Y_20181208_15692_31_8g	Y_20181208_15692_32_12g	Y_20181208_15692_32_13g	Y_20181208_15692_32_14g	Y_20181208_15692_34_1g	Y_20181208_15692_34_6g	Y_20181208_15692_36_1g	Y_20181208_15692_37_1g	Y_20181208_15692_37_3g	Y_20181208_15692_37_6g	Y_20181208_15692_38_17g	Y_20181208_15692_38_2g	Y_20181208_15692_38_3g	Y_20181208_15692_39_4g	Y_20181208_15692_42_12g	Y_20181208_15692_42_4g	Y_20181208_15692_42_8g	Y_20181208_15692_43_11g	Y_20181208_15692_44_14g	Y_20181208_15692_44_17g	Y_20181208_15692_45_11g	Y_20181208_15692_45_15g	Y_20181208_15692_45_5g	Y_20181208_15692_46_10g	Y_20181208_15692_46_15g	Y_20181208_15692_6_4g	Y_20181208_15692b_1_1g	Y_20181208_15692b_10_1g	Y_20181208_15692b_11_23g	Y_20181208_15692b_11_4g	Y_20181208_15692b_13_4g	Y_20181208_15692b_16_4g	Y_20181208_15692b_7_7g	Y_20181208_15692b_9_6g
1.8679	15681.4834	14863.2812	14137.2344	17775.5449	17219.5254	15304.8486	13300.4932	14059.3877	13616.3945	14531.0732	13483.0986	15909.126	12807.6211	16460.3652	15594.1211	13722.5059	12971.9346	12344.8867	14607.6562	15072.5254	15011.1992	13263.8213	12498.0908	16286.0566	15230.2949	14829.3037	17000.3516	17133.4336	15561.7744	13326.335	13565.5605	13617.3477	13685.0566	13820.5537	12795.0439
2.0013	14292.3477	15641.542	14645.8047	17637.3945	16720.5781	16699.0039	12266.8818	14261.0947	12791.9248	13906.9395	14046.8408	17134.9043	13800.9326	14597.4609	15062.4219	13760.5889	12897.7861	11754.7607	13578.6973	14536.4346	15230.583	13873.6309	12481.1396	15060.2031	14282.1836	14206.3145	16301.4277	16327.9053	14576.7783	13236.6338	13687.7021	13195.7373	13531.8311	13875.0312	12073.8477
2.1347	14317.6689	14546.3018	14562.208	17865.4336	15776.7383	16165.79	12565.8936	13927.0547	13029.0371	13514.8701	14071.3545	16166.5703	12952.0693	13075.5889	14612.292	12404.1582	12969.0527	12557.4893	15070.3359	14402.5186	14081.4316	12457.1641	12371.4688	14928.7422	13962.4209	14547.9746	15592.0186	16410.3594	15714.5479	12843.5488	13322.376	13575.1367	13161.3154	14949.5889	12666.0713
2.2682	14797.2148	13785.1992	14871.1074	17982.877	15429.2539	15949.6172	12993.2871	12995.0498	12961.6709	13283.5723	12677.3438	15483.9688	12941.0283	13177.4111	13149.4053	13185.2979	11902.0654	12892.9932	15168.4121	14612.5947	14033.6387	12517.2441	11861.8086	13913.4658	13446.7266	15301.6865	13536.457	16681.832	16086.6084	12380.1475	13244.9414	13194.9502	13815.917	13847.4883	12117.7822
2.4016	14196.917	13603.0361	14386.123	15991.6846	14019.1074	15996.6846	13172.9141	12864.6621	12597.4102	13659.7607	13775.8184	14847.4326	12417.2705	13417.3369	13355.9248	12288.6064	12421.625	12809.7461	14272.792	14718.5859	13831.0957	12636.168	11551.0713	13351.7217	13231.8936	15249.3975	13605.5693	15602.5303	15511.875	12498.4863	13558.0029	14104.2959	13773.8359	13349.8486	12538.8105
2.535	15357.9375	13774.8828	13435.6182	15926.29	14515.082	15301.1484	13055.6875	12227.0908	12380.1318	13191.8223	13212.3906	14607.4033	12142.3965	13898.4365	13126.5615	12100.5186	12657.2852	12890.2783	12320.9375	14976.0635	15111.8037	12666.1621	12317.1855	12565.0859	12726.5049	14644.1074	13727.9609	14637.3457	15883.4365	12767.6387	13837.2109	14446.5918	14277.084	13665.0645	11837.3828
2.6684	14224.7256	13321.709	12926.2666	15142.0479	15500.7393	15658.5869	12854.0078	12468.4541	12498.2686	12660.8096	13172.8164	13447.6309	11394.6016	13297.6074	12094.2305	12107.874	12285.4932	12428.9316	12429.4775	14783.4326	14042.8096	13087.5938	11335.5176	12909.6982	11930.0264	14179.0312	14677.4346	13530.1855	13489.3203	12970.0439	13368.2588	13244.7295	14292.3516	13682.7168	11545.2979
2.8019	14741.3496	11865.0625	11985.8193	14754.4355	15094.9355	14524.3496	13940.9189	11886.96	13064.1182	12617.0801	11971.4688	12948.5176	12707.8555	13420.3594	11895.8281	12197.1279	12521.2979	12777.8525	12502.5879	13978.6631	13778.0859	12678.7295	11207.7402	12171.3545	11899.3369	13331.5156	15380.7891	13704.917	13443.1357	12710.8447	12730.6406	13051.5752	14347.2637	12959.3154	11398.5811
2.9353	15402.4326	12368.2139	12334.0244	14290.3936	15572.0195	14244.1494	14400.3457	11499.6797	12921.3506	12578.0244	12571.4844	12820.2578	NaN	13318.9189	11758.1377	11742.1914	12952.3447	11730.8232	12378.5059	12965.4404	13672.8184	12245.376	10731.9561	11756.0615	11833.4629	12591.7822	14269.7227	12856.2148	12850.5322	11362.3525	12593.9209	12554.0557	13559.4824	13276.9854	11621.4707
3.0687	14537.8389	11613.6172	11833.5615	13940.9316	14972.8379	13707.0889	15817.457	11326.3516	11679.7832	13263.7334	11965.7256	12590.1992	NaN	12877.1602	11372.8193	11276.5	13170.3105	NaN	11859.5117	12543.668	15248.5127	11857.4219	10437.8447	10976.7002	11372.1553	11870.1514	12960.124	12628.9893	12438.8301	12029.3301	12572.0449	11724.7119	13394.2217	13026.4307	NaN
3.2021	14420.6348	10767.5156	12167.8574	13716.21	14672.2266	14884.5527	15655.5234	11204.0059	10600.7969	NaN	NaN	13070.5674	NaN	12745.4961	11185.8223	NaN	13096.5488	NaN	11224.7275	11399.1982	14560.8027	12274.5498	10677.2676	11159.7471	11212.5957	11708.9775	12430.8535	12700.7646	13536.4854	11400.0645	12229.2393	12313.7383	NaN	13520.249	NaN
3.3355	NaN	11649.3916	11708.9697	13456.4707	14973.498	16149.1514	15491.8691	10963.6025	NaN	NaN	NaN	NaN	NaN	NaN	11162.0508	NaN	NaN	NaN	10779.6045	11311.166	NaN	12103.6807	NaN	11070.3672	11639.3408	11750.1738	12408.0264	12728.8721	12853.5547	11220	NaN	11882.7959	NaN	13113.7666	NaN
3.469	NaN	11659.4434	NaN	14064.833	13654.4033	16575.2461	14386.3291	10260.4854	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11081.8154	NaN	11889.6475	NaN	10781.0078	11876.085	NaN	NaN	NaN	12314.3105	NaN	NaN	11594.6963	NaN	13742.5293	NaN
3.6024	NaN	11378.3154	NaN	13375.9463	14238.5342	14690.8086	14275.7246	10239.5742	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10631.1846	NaN	12115.6572	NaN	NaN	NaN	NaN	NaN	NaN	12867.7051	NaN	NaN	11770.2812	NaN	12997.1846	NaN
3.7358	NaN	11933.1279	NaN	13479.2041	13180.8799	13317.4268	12944.1582	10041.248	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11817.5137	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	13705.25	13319.7295	12754.8945	9543.0508	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	12629.9004	11829.5469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	12992.666	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	13384.0225	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
