x	Y_20181208_15693_1_13g	Y_20181208_15693_1_4g	Y_20181208_15693_10_14g	Y_20181208_15693_12_8g	Y_20181208_15693_13_13g	Y_20181208_15693_13_6g	Y_20181208_15693_13_8g	Y_20181208_15693_14_1g	Y_20181208_15693_14_5g	Y_20181208_15693_15_4g	Y_20181208_15693_15_5g	Y_20181208_15693_16_3g	Y_20181208_15693_17_13g	Y_20181208_15693_17_1g	Y_20181208_15693_18_11g	Y_20181208_15693_18_2g	Y_20181208_15693_18_4g	Y_20181208_15693_2_10g	Y_20181208_15693_20_6g	Y_20181208_15693_3_3g	Y_20181208_15693_3_5g	Y_20181208_15693_3_6g	Y_20181208_15693_4_2g	Y_20181208_15693_4_7g	Y_20181208_15693_6_13g	Y_20181208_15693_6_1g	Y_20181208_15693_6_2g	Y_20181208_15693_6_5g	Y_20181208_15693_6_7g	Y_20181208_15693_7_10g	Y_20181208_15693_7_4g	Y_20181208_15693_8_4g	Y_20181208_15693_9_13g	Y_20181208_15693_9_1g	Y_20181208_15693_9_2g	Y_20181208_15693_9_5g	Y_20181208_15693b_1_4g	Y_20181208_15693b_10_18g	Y_20181208_15693b_10_4g	Y_20181208_15693b_10_9g	Y_20181208_15693b_11_16g	Y_20181208_15693b_11_2g	Y_20181208_15693b_11_5g	Y_20181208_15693b_11_8g	Y_20181208_15693b_11_9g	Y_20181208_15693b_12_3g	Y_20181208_15693b_13_11g	Y_20181208_15693b_13_18g	Y_20181208_15693b_13_20g	Y_20181208_15693b_2_12g	Y_20181208_15693b_3_12g	Y_20181208_15693b_3_13g	Y_20181208_15693b_3_20g	Y_20181208_15693b_4_11g	Y_20181208_15693b_4_1g	Y_20181208_15693b_5_18g	Y_20181208_15693b_5_3g	Y_20181208_15693b_5_6g	Y_20181208_15693b_6_5g	Y_20181208_15693b_6_7g	Y_20181208_15693b_7_4g	Y_20181208_15693b_7_7g	Y_20181208_15693b_8_10g	Y_20181208_15693b_8_11g	Y_20181208_15693b_8_14g	Y_20181208_15693b_8_8g	Y_20181208_15693b_9_5g
1.3342	33864.8789	30345.0625	30997.0781	28947.9551	27096.0078	28691.6895	26797.3945	25535.1172	28468.9648	28878.3613	29373.9004	32206.0605	33246.6562	28822.7461	30546.082	27682.9375	31952.5176	32703.793	31396.9043	29027.9863	29377.0723	32257.5566	27352.8633	32291.2539	31330.1914	28142.6562	27023.6016	30557.9297	31576.6426	29523.0449	34331.5039	29854.6543	31089.3066	30317.2891	27056.4004	29714.166	29838.0371	30536.3477	29310.8086	30055.4785	29110.166	27276.7734	27636.3398	30332.2109	30695.7246	30372.7441	27817.3105	30768.5449	29484.2129	31014.5254	26843.5938	29542.084	32569.5977	30818.6348	27796.2773	30564.8848	27759.6113	27016.1973	27534.459	32306.6348	27759.1035	27238.0605	30002.7402	32593.1367	33288.9922	28405.5273	27479.9492
1.4676	33534.3711	30947.5781	31579.0312	29138.9688	27439.873	29084.1992	26498.1406	24675.875	28096.4414	28528.6953	31176.166	32946.3828	33335.6328	29431.4707	31372.4121	29005.6777	31424.8379	32056.5195	31510.4102	30586.6387	30456.0176	33665.9844	27064.0508	31209.9922	29896.0742	27662.4395	28353.3301	31293.1172	32940.8359	30662.9121	34522.2148	29849.3535	30313.2168	30132.4883	27974.1973	29472.8594	30586.3926	29335.0801	29508.7324	31083.5449	28484.0898	25900.7852	25798.5312	31032.7109	30600.4336	31302.6816	27366.4648	30016.248	29262.1836	29170.3145	28943.957	29902.5469	32168.4941	29325.1211	27509.4883	30917.0117	28154.5352	26982.1719	28226.6992	32714.5117	26989.0488	27971.7812	31285.9102	31853.0293	31652.4102	27419.6035	27592.9082
1.6011	32383.3789	29852.6953	32627.8594	31020.4941	27615.9492	27392.3379	26653.1875	25522.1582	28460.4492	29397.7168	33486.2891	33192.0234	34701.6562	29527.8105	32158.418	27621.4141	30879.1504	31210.7812	33088.5859	30662.9336	33007.8867	32715.5645	27855.6816	33087.8633	29626.0488	27399.7422	28397.3984	31586.9297	33240.3359	31450.3516	34093.6953	28935.1289	30490.6973	29564.3164	27071.2871	30044.9336	31773.959	30359.4805	29106.584	29789.4629	28541.8145	26606.1816	25556.3496	29969.2871	30434.3809	30592.4219	27109.3652	28531.3164	29428.3828	29963	29890.4648	30048.6152	34672.1328	29893.0391	28076.4805	32143.0684	27507.6953	27309.7207	30865.916	30956.9414	28417.6875	28112.5078	31034.4414	31971.1875	30720.8223	27230.166	28019.9023
1.7345	33241.9141	31445.877	33737.0117	30101.5781	27717.9434	28712.5332	26164.9805	25948.4258	29018.7441	30775.6016	36697.1289	33519.1602	36387.2031	28583.1348	31249.9805	29203.5352	32641.7422	30775.4629	34390.2578	31417.3262	33139.2734	34418.8086	26368.666	33039.5625	30653.5195	28355.377	29498.5605	31201.8125	32492.2852	30606.1934	35561.7812	30172.625	28218.4004	28339.9082	27453.2031	29718.5312	32227.9199	31758.4668	29266.5352	29442.7012	28970.0449	27970.4609	25948.623	29925.6191	30230.6816	30698.0156	26969.0352	29345.375	29938.3945	30156.3301	30681.2734	31711.4766	33326.9727	28849.3574	28870.8711	31859.3965	26720.9023	27359.959	32829.1523	32015.7715	27569.0859	29854.332	30079.5898	32999.7578	32799.8008	28530.1309	28405.5254
1.8679	34264.6836	32487.9043	32833.5977	31207.8027	28037.9355	28818.6133	27408.7402	24902.1035	28353.6699	29868.2539	42062.3203	33951.0312	38095.0195	28230.998	33199.3281	29540.0254	33927.4062	31664.6172	33946.5273	32142.7188	33151.1797	35679.5	26629.4355	33741.6992	31234.3105	28479.8477	29618.041	31859.2949	33084.2344	31418.3945	40663.6602	32362.8906	29299.791	30278	28452.5332	29853.4629	30839.791	33279.5273	28846.9375	29700.6934	28127.6309	26115.3418	27359.5371	29749.9082	29890.125	30136.7656	28249.332	30556.8242	31251.2109	31341.1055	30959.2383	32004.8047	34584.5469	29330.752	31225.2031	34085.8672	28615.8613	27186.2832	38538.5078	33752.3594	27678.6699	32148.5488	30520.7812	32872.4805	31777.709	28793.3125	29617.6328
2.0013	34991.3398	33980.4688	32850.375	35475.8789	30737.9434	28369.4336	28821.7988	25268.5586	30480.752	33090.4844	42141.2461	37782.5312	42964.6016	28326.125	36430.7031	31041.8438	34068.1172	32281.291	35940.8086	31997.6055	34410.043	35647.3008	28452.002	34168.4609	30413.1797	29095.4082	30791.9023	33192.3672	30907.2754	30945.8555	51861.8242	33780.4453	29453.5859	31281.5391	29064.1016	29748.7715	34246.3555	36654.0703	27750.998	30735.1328	28354.5938	26838.9473	27078.4434	29503.5625	29987.2051	31461.6113	27920.7305	32282.9883	32886.2773	31447.0645	37377.1133	33430.0078	35373.3906	29221.9336	30832.5332	35369.6406	29082.1992	28363.457	55978.125	35051.457	29099.7363	37836.1484	30494.7246	33101.2695	33493.3438	30262.9551	32175.2012
2.1347	36843.4961	34712.6914	35108.1953	44789.6445	34913.3047	30504.2852	29999.9941	25730.7266	34112.8398	34548.2539	38129.418	43629.5781	53978.1719	29033.8711	39933.5625	34781.2617	35922.3242	31142.9375	39940.1641	34767.8438	33907.8867	37460.0508	28850.3965	35525.3438	30423.6172	28829.3262	31640.6426	37604.8242	31812.9062	32614.5117	68203.3906	39749.0664	29204.873	31313.3398	31635.377	29572.7168	37672.3789	52220.457	29612.8203	33432.0625	28766.2012	27553.7969	28696.8535	32473.6309	31450.1055	30921.3438	28352.623	32498.4453	33342.5312	35319.5	46338.7461	35764.5391	34566.1328	27757.7012	32242.6191	34357.5312	29392.084	28015.0977	93057.5234	39810.5234	29421.3105	50754.6836	30440.3438	33517.2969	36624.7422	33179.7656	39868.4961
2.2682	41488.0586	39359.4961	35371.4961	70786.375	43218.918	32143.0684	34321.3242	26525.3848	40562.0391	37614.875	35212.4219	64510.1992	76021.8906	30737.4141	49007.3203	44024.9766	42147.3125	30188.9023	47272.0273	46579.1641	36136.2617	42126.7734	30353.916	38492.6172	29834.8223	30746.3672	34311.1992	42035.082	32701.6895	34201.1445	70935.1406	54913.9414	29567.1191	33542.3555	36337.9492	30533.418	44849.625	72477.9297	29964.6074	33811.6719	29156.4551	28723.0254	30825.1562	30765.3691	31779.9785	31690.2129	31136.7363	32277.5352	38303.5	40177.375	67756.6719	44640.8438	37298.4062	30636.3555	35586.1875	38417.0117	34470.6016	32663.9219	124963.0391	49326.5859	30041.9023	71859.2812	32209.6875	35427.5117	40961.2461	38054.2773	60134.3242
2.4016	53293.5781	43252.4258	37779.832	98758.7188	54739.7148	36162.5938	40304.125	28070.1172	51848.957	46862.5898	33455.7734	104005.6172	98027.6719	32498.084	56959.6289	58029.5625	52346.043	33071.2773	70022.8438	70814	42367.9258	54098.1016	35518.1328	46876.7305	30067.0176	35222.5156	35256.6445	42696.875	33806.793	41311.7812	53913.6953	67781.5703	29226.2637	36707.3281	48809.4727	30416.2695	67417.9531	82339.6641	31254.3418	34277.4844	29598.0547	31419.1953	33616.1953	29615.3789	32510.1621	33543.9727	33373.2891	33451.5312	47040.8516	53814.6719	96423.6562	60138.3398	39804.3438	36751.8672	45365.2656	49664.8789	41562.9531	40853.6914	126412.9141	75431.5156	29555.6484	75707.9766	35379.2812	38032.1914	55186.2773	58645.3203	81601.6016
2.535	69082.1094	48068.9453	41789.9805	88956.7969	55270.5508	46418.0273	41581.7109	33786.5391	49941.8008	63509.5977	31351.3184	126463.7812	100740.2031	37812.5977	54031.6172	61289.832	71838.2109	36766.9609	101751.5781	101579.6406	48393.1094	79599.3984	46662.9727	59696.8945	33714.8672	46526.3359	42968.6367	38510.6758	34336.293	53212.7305	40235.6641	67729.6875	28020	45274.4727	71428.7031	32188.3047	97531.0703	68343.6641	31039.4531	41414.0742	28488.0801	38723.5898	42884.4922	30833.9473	33007.1016	35651.6289	38236.1719	34092.0195	66938.1484	80364.5312	113355.2578	73205.4375	50450.0469	53071.7109	58590.6797	73696.2266	56131.7539	51120.3281	86872.6016	104867.3984	30861.2559	57764.6406	41765.9453	47840.6133	74885.8125	80848.8047	82815.7578
2.6684	66861.5312	49360.2188	55919.7852	57820.7734	42517.4453	62068.7852	35429.7656	44896.7266	46555.0938	68145.8906	32230.5957	91588.3438	75410.9609	53121.2188	46681.7422	49365.5781	79637.4453	44706.7109	116941.3906	96795.0469	53058.6914	93657.0859	73336.4375	67044.125	36646.5938	71951.7656	57001.4531	35039.8398	39317.5664	59124.9766	33961.8359	53064.9844	28183.2148	63989.6914	96588.3906	39962.0664	114773.3281	47665.5391	34152	57758.8633	29530.0371	51621.1055	64157.5195	31202.0762	37845.3047	41266.6406	49449.5586	35145.0547	92473.7656	93046.3672	89856.1719	66123.3906	74587.1641	73621.2734	63167.5508	84168.75	71145.4844	54189.4688	53831.6836	97888.6875	36506.0938	42620.2148	56324.1367	64732.1797	85893.4297	79157.2344	62587.4609
2.8019	50650.0938	37825.4258	81359.4297	42296.6719	34283.0547	54832.9219	30392.1465	59087.9648	57143.0117	52399.3047	32097.3027	54910.3633	49418.7812	76400.6875	38459.375	36912.0273	70200.8984	53565.9336	89903.1719	64725.4023	44695.3711	75609.6875	99843.8906	54533.6328	42681.2461	87870.4688	69391.4766	35089.7031	53099.125	52924.6211	31508.4355	38944.375	29912.7734	77666.0312	86518.3438	51584.8359	102746.7188	38243.4336	39195.1562	91868.0078	32372.0723	64753.9414	91724.4844	33420.1055	44304.4375	53930.2617	68947.9609	39110.7891	90907.7031	70785.3516	53450.2461	47215.8125	120677.2969	72341.9141	49056.1172	65010.0977	64871.8711	44184.3359	37815.1211	67656.9453	47437.0391	35924.5312	80957.625	78918.75	66563.5469	55703.5586	46735.5547
2.9353	40610.0352	34215.5	93566.8984	38580.2891	30974.2188	40891.6211	28366.0625	55709.0039	67358.2812	38792.5898	NaN	40765.5508	39657.2305	80898.6406	36601.0312	33534.5078	52930.6328	49371.5703	55424.6367	45450.5039	36429.0156	49017.9219	92607.4453	43974.3633	60550.4336	73053.1484	59949.6367	34342.875	67673.0859	40349.1797	31813.1836	35682.6992	29793.6426	63939.0312	53306.7148	57309.7734	76738.7578	34391.7578	49580.3203	128731.8125	37754.5352	58243.0234	85203.2109	37523.6445	60572.3594	65901.1797	76110.7812	43529.2227	64778.375	48760.4688	39729.207	38426.1523	163941.9062	55263.9375	36838.2852	45029.8008	45267.668	36269.3008	32255.9727	51120.375	59806.4414	32048.1387	89465.3906	70486.2344	49063.3867	39740.7422	38115.0039
3.0687	37019.5312	32358	77335.8359	37592.5859	27345.1855	32268.2148	NaN	39928.7344	NaN	33688.4531	NaN	35247.1992	36237.5859	62072.0547	34504.5898	31268.0645	42062.1172	40581.8359	40767.0586	38990.2031	35139.1406	39840.8906	70826.7109	42922.4531	75567.6172	53316.3945	44854.8555	32138.623	61033.5	34702.1797	NaN	33175.7812	30629.9062	44857.9961	38879.5117	45993.9492	63506.9375	34132.9219	45950.4219	112132.4844	51592.5195	42929.168	55588.7578	46104.7812	80901.2734	62239.2383	57893.7109	39996.2031	44345.0234	37427.4141	34015.7617	35281.5742	155593.2344	42652.1055	32759.3613	38217.9727	35264.1211	31722.5352	30877.1406	41595.0273	55792.7812	30948.6367	69803.8594	49605.0078	38565.7734	34698.9805	32140.6543
3.2021	36276.5469	NaN	49686.8672	NaN	NaN	28915.7891	NaN	29637.2852	NaN	33076.9766	NaN	36662.7148	35025.9805	44267.9375	32871.418	29809.1953	36052.4492	35329.3164	36941.3086	36164.6641	33796.0703	35837.7305	51766.8203	38663.7969	70658.6406	41737.7617	34930.9062	NaN	47450.4766	32037.3945	NaN	32606.8145	33378.918	42396.6055	35107.9297	38848.2109	55135.875	32940.5195	39742.668	69757.7969	72650.5312	35129.793	39956.2344	54175.7773	74518.3281	49339.543	41485.0156	35474.4883	42380.1328	34658.3008	NaN	33078.9844	109622.5312	37643.2695	30545.2617	35365.3047	31602.8867	28375.8945	28907.6211	37420.1562	42513.5312	30623.3516	46371.3477	38956.75	36821.3555	30549.7344	31557.5391
3.3355	NaN	NaN	39020.1445	NaN	NaN	NaN	NaN	29329.0449	NaN	32661.2695	NaN	33820.2891	33324.9023	38245.8672	NaN	NaN	34133.9102	35769.0898	35099.8008	35419.4727	NaN	32470.5879	NaN	36872.1484	49548.3906	35748.3945	31147.6387	NaN	41598.9883	31802.7129	NaN	33740.6406	44177.8945	NaN	30690.4102	34186.5742	41715	32808.8555	34510.3242	50573.8203	68920.8594	29705.4355	33818.293	52560.1016	53728.375	41182.4805	34306.2734	32704.0605	NaN	32670.4824	NaN	32179.2988	67088.5469	39818.4297	30402.4023	34303.3594	29257.5605	28158.5215	28225.8164	36101.8789	34160.918	NaN	37986.6367	35861.3867	33713.668	30365.6309	NaN
3.469	NaN	NaN	37385	NaN	NaN	NaN	NaN	27158.293	NaN	NaN	NaN	33256.2695	NaN	34236.9141	NaN	NaN	NaN	35118.8086	34855.5977	NaN	NaN	31275.8105	NaN	34434.9336	39276.3555	33792.9492	32052.332	NaN	37006.2773	NaN	NaN	NaN	58801.5859	NaN	30404.9043	32968.75	37597.2695	32954.8359	30416.1055	39882.5234	48542.3438	28088.9238	31280.0996	44787.0547	40370.6523	36744.668	32045.3477	31128.3926	NaN	30579.1484	NaN	32362.0742	46266.0898	NaN	30800.7031	32890.3984	27934.7871	NaN	NaN	37493.3164	30694.0703	NaN	34241.7344	34307.5	NaN	29659.6719	NaN
3.6024	NaN	NaN	35632.1016	NaN	NaN	NaN	NaN	26350.7207	NaN	NaN	NaN	NaN	NaN	32842.9648	NaN	NaN	NaN	35111.8086	32752.3398	NaN	NaN	31493.9004	NaN	32876.7266	37302.4961	31013.0488	31150.5312	NaN	34464.6836	NaN	NaN	NaN	57709.7617	NaN	29609.2129	31687.1641	32295.8984	NaN	31019.3105	35694.6562	36406.9531	NaN	NaN	37930.2812	34208.0234	35743.5352	31785.4473	30836.7734	NaN	NaN	NaN	33056.6719	39609.5781	NaN	NaN	31737.4941	NaN	NaN	NaN	NaN	28791.1562	NaN	33061.625	35437.8906	NaN	NaN	NaN
3.7358	NaN	NaN	35356.4453	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33556.9297	32583.127	NaN	NaN	NaN	NaN	NaN	34008.4688	NaN	29427.166	NaN	33463.8984	NaN	NaN	NaN	44851.1445	NaN	NaN	NaN	NaN	NaN	NaN	34282.7812	32461.3535	NaN	NaN	36374.8242	32784.3633	35198.7148	30486.1953	NaN	NaN	NaN	NaN	NaN	36676.5859	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33140.0508	NaN	NaN	NaN	NaN	NaN	32751.6562	NaN	NaN	NaN	34277.0352	NaN	NaN	NaN	36748.3477	NaN	NaN	NaN	NaN	NaN	NaN	32246.5293	30739.2617	NaN	NaN	33615.7227	33165.1523	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30216.9238	NaN	NaN	NaN	33511.6484	NaN	NaN	NaN	33174.4102	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34414.2383	32334.791	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
