x	Y_20181208_15694_11_9g	Y_20181208_15694_13_8g	Y_20181208_15694_14_6g	Y_20181208_15694_14_7g	Y_20181208_15694_20_1g	Y_20181208_15694_23_3g	Y_20181208_15694_25_6g	Y_20181208_15694_6_13g	Y_20181208_15694_7_4g	Y_20181208_15694_9_15g	Y_20181208_15694_9_5g	Y_20181208_15694b_1_3g	Y_20181208_15694b_2_1g	Y_20181208_15694b_3_4g
3.2021	12303.167	13726.3496	13224.4668	NaN	13654.4502	11074.4443	12438.7021	12606.6025	11584.3955	12824.6631	12998.1152	11304.4404	10305.5977	12432.8506
3.3355	12483.2646	13053.0898	12397.0352	NaN	13354.7168	11591.5361	12440.7744	11570.9609	12392.6855	12122.6982	12816.252	10847.5713	10508.6953	12105.5244
3.469	11665.9854	12858.041	12672.3291	NaN	11861.2305	11313.584	12551.2715	11566.3076	11278.3389	12017.7314	11721.4014	10637.8145	10751.0732	12468.9521
3.6024	12641.7178	12799.5498	11884.5352	NaN	11491.8809	11364.8613	12542.4199	11481.4375	11784.8271	12626.7969	11864.543	10602.3594	10580.8506	11930.9844
3.7358	NaN	12606.7363	11413.0537	NaN	11187.9092	11571.9688	13034.4736	11232.3643	NaN	12098.9863	11626.459	10537.6318	10667.1133	11845.6816
3.8692	NaN	11558.3252	11227.8066	NaN	10581.7539	11946.3213	12446.249	NaN	NaN	11084.2578	11190.3672	10800.0264	10507.3096	12534.2363
4.0027	NaN	10981.0312	NaN	NaN	10877.1318	12033.4834	12265.1084	NaN	NaN	10664.5146	11369.4111	NaN	NaN	12621.2568
4.1361	NaN	NaN	NaN	NaN	NaN	12183.4951	NaN	NaN	NaN	10102.459	NaN	NaN	NaN	12339.9209
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9824.0391	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9409.4971	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
