x	Y_20181208_15100_1_7g_left	Y_20181208_15100_11_4g_left	Y_20181208_15100_14_1g_left	Y_20181208_15100_16_1g_left	Y_20181208_15100_17_5g_left	Y_20181208_15100_18_3g_left	Y_20181208_15100_19_5g_left	Y_20181208_15100_4_1g_left	Y_20181208_15100_5_9g	Y_20181208_15100_6_10g	Y_20181208_15100_6_11g	Y_20181208_15100_6_3g_left	Y_20181208_15100_6_6g	Y_20181208_15100_7_4g_left	Y_20181208_15100_7_8g	Y_20181208_15100_1_4g_right	Y_20181208_15100_13_10g_right	Y_20181208_15100_14_1g_right	Y_20181208_15100_14_4g_right	Y_20181208_15100_14_6g	Y_20181208_15100_14_9g	Y_20181208_15100_15_12g	Y_20181208_15100_15_6g_right	Y_20181208_15100_16_1g_right	Y_20181208_15100_17_11g	Y_20181208_15100_17_4g_right	Y_20181208_15100_2_1g_right	Y_20181208_15100_21_8g	Y_20181208_15100_22_11g	Y_20181208_15100_22_12g	Y_20181208_15100_22_13g	Y_20181208_15100_22_21g	Y_20181208_15100_22_2g	Y_20181208_15100_22_5g	Y_20181208_15100_26_3g	Y_20181208_15100_27_11g	Y_20181208_15100_27_4g	Y_20181208_15100_28_1g	Y_20181208_15100_29_1g	Y_20181208_15100_29_4g	Y_20181208_15100_3_1g_right	Y_20181208_15100_30_2g	Y_20181208_15100_30_3g	Y_20181208_15100_32_3g	Y_20181208_15100_4_6g	Y_20181208_15100_6_5g_right	Y_20181208_15100_7_5g_right
1.3342	26260.2168	33811.0938	28534.2715	27270.0059	29650.9062	30753.5488	27187.9434	28545.6113	31157.5254	32038.8887	32031.6094	31806.9473	31839.2598	30398.9766	32690.6289	31734.9492	26747.9414	22384.3633	27745.8848	28924.9062	25521.7129	29482.8223	28423.1426	28742.2988	27999.377	29897.334	30612.2441	33665.9961	32766.6211	33132.418	31635.3262	28594.875	28961.9551	31443.7891	29929.1816	30938.3711	29140.4648	25079.877	31013.5859	30900.0586	30234.6465	28091.75	30889.4551	29541.8047	26900.1621	27176.5469	33657.5859
1.4676	26800.5762	32040.4336	28937.0098	26872.7539	28298.1992	30811.7637	27434.1484	28576.3828	31138.168	32904.8828	32011.5078	32589.5371	30234.8086	31124.3301	33041.4805	32017.377	26960.4922	23903.8438	28380.0762	28995.0156	25876.7168	30450.8105	28005.1855	28099.584	28557.3398	30984.4551	30079.0801	32778.1719	33804.6328	33260.8945	31615.041	27119.9922	28022.0801	30874.2012	29720.2324	30711.875	30361.8867	24455.8496	30484	31979.418	31006.1152	28295.9199	30967.0117	29219.1152	25793.3926	27578.4863	32358.1367
1.6011	25940.541	32060.541	30994.9043	26988.3398	30249.5176	31777.1426	26614.002	27345.5098	31327.3359	31668.0059	31523.6309	33656.2969	31631.4707	31744.2461	32320.707	31090.6875	26408.2695	22775.5332	27510.5176	30294.7754	24931.9082	31230.9238	28932.6133	27717.9863	28431.1953	29888.9395	30536.6602	34753.3242	32672.5645	32761.7969	31195.9121	29022.916	28635.8789	31327.8418	30402.3594	28390.0566	30507.4082	23553.6426	30009.4648	30209.3027	31993.0879	27935.8809	30653.6367	27996.9375	25397.4023	27608.6582	31715.8477
1.7345	27129.9805	32676.6094	32351.8242	28545.4922	29676.832	33164.1016	26324.7266	27372.3867	30990.291	30963	31529.4727	34777.7891	31313.9043	31425.4688	34159.7188	30302.8711	25776.8691	23872.8535	27045.0645	30390.0957	25180.4316	31389.3457	29510.5449	29216.0332	29295.3555	30038.0801	30658.8652	34831.9219	32182.0098	34494.3945	31247.5762	28904.7617	29469.957	32594.3633	29975.3398	30222.8711	29670.3516	23668.0195	31122.3535	32269.0723	32782.7539	28360.7051	30361.166	27235.9062	28074.8633	26738.4258	32196.3691
1.8679	27367.0352	32075.1133	36918.9141	27886.6387	29868.1328	32612.4688	26285	27301.2812	30835.6035	33256.9648	32871.7383	38215.1445	30484.4121	31687.1816	35858.1523	31758.7246	27271.7031	26827.3555	28075.1445	30320.9238	26266.7598	33081.5312	30346.0098	30631.1621	28126.5566	31430.6738	30530.6914	36604.5039	33020.9961	34661.6133	32428.8105	29099.5078	29272.7539	33899.9453	30709.4492	30509.2324	30059.8457	24731.6992	32106.8027	32879.9531	31620.748	29195.9004	31969.4844	28744.0078	27304.6836	25883.7246	31879.8418
2.0013	28060.1875	33272.9336	36043.043	29174.0625	30640.1777	32023.1074	26828.6406	27859.4199	31076.8457	33845.0547	33328.9609	41449.8672	33200.0703	32377.4883	40489.5859	32324.6816	27028.1035	33352.9727	27802.3477	32263.2344	25414.752	39179.2109	31274.5078	32810.9219	28817.918	32181.666	30366.709	36012.3438	34337.9805	36705.5273	32918.3438	29029.6348	30146.1367	33828.4062	30655.0684	32294.9141	31443.7012	26455.3555	33872.2148	31711.9531	31603.9824	29672.1562	33792.3867	29144.1738	27468.5703	27398.4668	31473.6934
2.1347	29251.9023	34262.5938	48063.8867	28046.0625	32422.8066	34541.5117	25832.5742	28150.377	30264.0078	36110.7734	33729.418	49085.4688	32649.6328	32450.668	50406.457	32016.2832	27369.7129	45420.3203	28759.0879	40150.8398	26459.1758	55403.6875	35401.8242	38163.9023	28967.3301	35783.6992	30140.4531	38263.7344	34774.2734	42501.9609	32555.8672	29510.9785	30497.793	35843.2969	32963.6758	34422.7266	31626.3184	29622.6367	36340.8203	32881.0391	32438.125	30907.9961	36814.4727	28779.7852	29764.9648	27881.8594	32593.9473
2.2682	32089.0215	36665.9961	77263.4609	30627.8242	36948.5117	33071.9766	28140.877	30866.9473	32376.584	41466.6328	35110.7031	68528.3047	34074.5078	33240.5703	71975.2188	31742.8008	28210.6113	67553.8906	31410.2617	55414.5977	27156.0449	84279.5156	47925.4297	58671.4102	30251.0645	42918.3945	30511.7324	49062.2188	36061.9688	52279.4688	33698.6875	31803.918	33630.5156	42494.0938	36665.8047	42526.6328	33406.4492	32615.1484	46216.6562	31587.8848	36298.1055	35796.7539	43704.7891	32754.7656	33051.0117	28167.5059	37489.3672
2.4016	33820.207	38010.5117	132996.9219	33671.0234	46465.8984	33867.4375	27945.9453	34057.5234	31389.877	56233.4102	41213.3516	114185.875	35807.832	33993.5391	76000.2891	32959.4492	29280.7695	70244.4531	33649.4375	83302.6406	30990.8945	92763.4375	71346.5078	92605.0391	32568.5312	56635.6094	32316.3164	77053.3984	37077.9141	73159.1875	37123.4883	34020.3359	38090.6094	57988.1523	44849.1836	58277.3945	38574.1875	44357.2656	70818.5938	34447.25	41299.7891	45400.9102	61241.125	38131.25	44499.957	26517.7578	43812.4648
2.535	41088.1328	48965.793	160240.2031	41397.125	64458.207	33807.1758	28751.1328	35531.7188	31428.8887	88038.4844	52423.8242	142890.2969	42937.5039	38593.5391	60526.2969	40379.1602	33462.3867	48884.1641	42160.9766	96273.4062	37137.5469	71303.8828	90871.9453	109500.7891	35361.4531	79700.6719	37877.4922	121866.6719	42744.3125	75958.5078	41041.6836	41426.9219	49222.6836	82138.0391	67419.2734	88325.1094	52057.4258	70180.2812	115116.4688	39204.0547	50517.4414	65610.2188	85089.6719	49216.4062	63001.0586	28149.873	57295.0781
2.6684	59023.4922	67700.9141	120914.0625	60850.5547	71951.7188	37699.5898	32846.6133	45415.8789	35180.1445	124119.9531	80444.7422	110291.6016	62074.1523	52639.9258	44718.4961	55510.5664	42983.5508	34009.668	62165.3086	75833.6406	51379.7266	49806.0625	79423.0938	81620.4375	43987.3086	83871.5547	49238.1758	137006.6875	57008.2734	60837.5977	52008.3047	55446.3867	78545.1484	95202.7891	84845.7266	144838.3125	75876.0625	90397.0781	124708.8516	55362.3125	74009.6875	74463.2969	93967.6484	63203.2422	74188.5234	29717.5938	62140.2891
2.8019	78387.0781	82268.1719	69516.8984	82920.0391	51954.1289	45763.4453	40396.0977	71307.6484	40241.7188	106486.6797	94715.5703	62876.9883	96629.1641	81336.6562	37320.6367	78570.6953	65122.2891	27900.5859	90230.7188	50952.1211	67806.9375	40235.8242	50996.6602	53482.4805	63759.4219	63093.0156	66910.3906	103128.1484	80095	54321.125	80250.4453	66074.1562	121244.6484	77326.6406	76579.3438	186676.5	92573.0469	75298.9453	92245	79226.5234	98348.2031	58924.9375	73192.6016	71682.5078	61632.5547	33590.4648	49915.1875
2.9353	72581.0156	70776.7031	45196.082	78569.5859	39611.4453	56903.9727	46424.0156	109300.9375	55905.5156	70838.4844	74902.8516	40622.8438	112394.0781	96884.8594	NaN	89465.0938	117666.7656	26566.8672	96645.7891	37903.1172	62413.6133	34801.3711	38397.5859	39776.5781	84084.9297	45348.1992	69796.7812	65466.2188	85596.4688	65916.2656	92182.7031	53539.2891	123848.3984	52354.7852	52745.8438	158536.0938	73434.1562	50416.8516	56238.4922	95213.1875	87705.3672	41317.1484	51020.9766	63277.3398	41423.0742	41150.2109	39481.6562
3.0687	49863.4844	52205.4883	36877.2539	61358.0547	34875.207	60896.7422	40297.0117	104743.5156	81519.4922	50314.293	49645.0391	35105.5078	82176.3359	75989.5234	NaN	69186.2188	154403.2031	26249.4805	60847.043	34512.1406	45078.0312	33804.5898	32115.9609	34029.3867	78384.8125	37952.7539	54419.4883	45932.2891	64105.6523	87032.4844	71529.6406	38988.6133	76917.3438	39991.2344	36753.0195	93026.9453	52554.3398	35680.0859	38266.9375	80481.8125	54650.4609	33499.5977	41261.8164	52611.3867	32530.7305	43881.6406	34048.2695
3.2021	35954.0625	41684.9766	35654.2578	67698.9219	33805.3867	50854.0859	33084.4844	66171.5469	79734.6016	41311.4453	38376.5312	32252.5566	54998.4492	49000.707	NaN	49057.2227	118298.5938	NaN	39370.8477	31977.7637	32972.1055	32173.7578	28616.498	32452.0508	52837.7109	35993.2812	41576.4336	37595.0391	47625.7422	77854.0469	51616.0586	32648.4727	45668.9766	37091.1914	31951.1426	57581.5195	40836.9688	29451.0156	34618.1797	53972.043	40345.7852	30234.9375	37515.7266	39267.5664	29752.6797	37178.3516	32585.7871
3.3355	32531.4453	37443.4062	32707.3848	NaN	NaN	44396.3984	29456.2266	42232.8203	54719.3086	39110.418	34403.8828	31333.2441	41185.9844	38613.9766	NaN	42090.125	65030.0625	NaN	32363.2754	31341.3516	29834.5723	NaN	28735.3262	NaN	36921.4141	32898.3516	36841.5586	33574.3594	39251.5352	54201.3906	43374.2422	31405.4473	35990.1211	NaN	NaN	43094.8477	35164.4336	27889.0957	31478.8711	43408.0078	37032.207	29342.8926	36489.4688	35359.0547	28781.3398	31509.9375	31113.3457
3.469	34147.9023	36120.5391	NaN	NaN	NaN	50941.1641	28739.6113	34988.8633	40008.3281	33994.2812	34016.0156	30597.8613	37152.9688	34827.3359	NaN	NaN	42030.3281	NaN	30965.2676	30142.0938	27350.9336	NaN	29037.5859	NaN	31034.1211	31598.1543	32173.0254	34610.7969	37470.1758	40725.9453	38419.4453	NaN	33489.2109	NaN	NaN	38235.4766	32063.1094	26097.4648	29493.3184	38259.2578	33570.1953	30693.8613	34486.8711	32092.3711	28734.8867	33310.168	31268.3301
3.6024	NaN	35815.332	NaN	NaN	NaN	NaN	28435.918	31074.9512	34815.0312	33611.0664	32335.7852	NaN	32826.8711	32618.1074	NaN	NaN	35513.6562	NaN	29939.7129	29580.5488	27090.0234	NaN	NaN	NaN	29869.2344	NaN	29252.0938	NaN	35351.9883	36778.2305	37139.7617	NaN	31736.791	NaN	NaN	36814.4023	NaN	25384.2695	NaN	36680.457	33042.3594	29471.4336	33883.4141	31491.8809	27502.3789	NaN	30002.1855
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29650.2383	32400.8926	33441.6484	32258.709	NaN	NaN	33413.9648	NaN	NaN	32452.4863	NaN	28127.0293	28626.6113	26577.4805	NaN	NaN	NaN	29630.5801	NaN	30854.957	NaN	34876.918	33945.6758	36561.4961	NaN	30726.209	NaN	NaN	NaN	NaN	NaN	NaN	38452.2578	33251.8984	NaN	NaN	30506.2617	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29549.6152	33435.3984	NaN	NaN	NaN	NaN	33351.9766	NaN	NaN	30798.9199	NaN	NaN	28694.9375	NaN	NaN	NaN	NaN	29431.7539	NaN	30220.9121	NaN	34760.7422	33676.375	37352.4141	NaN	31585.6328	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29298	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33119.4414	37478.207	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32589.4004	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
