x	Y_20181208_15693_1_11g	Y_20181208_15693_1_2g	Y_20181208_15693_1_3g	Y_20181208_15693_1_5g	Y_20181208_15693_1_8g	Y_20181208_15693_10_4g	Y_20181208_15693_11_10g	Y_20181208_15693_11_13g	Y_20181208_15693_11_6g	Y_20181208_15693_12_1g	Y_20181208_15693_12_2g	Y_20181208_15693_12_3g	Y_20181208_15693_13_11g	Y_20181208_15693_13_12g	Y_20181208_15693_14_14g	Y_20181208_15693_14_4g	Y_20181208_15693_14_7g	Y_20181208_15693_15_11g	Y_20181208_15693_15_9g	Y_20181208_15693_16_4g	Y_20181208_15693_17_11g	Y_20181208_15693_17_6g	Y_20181208_15693_17_8g	Y_20181208_15693_18_10g	Y_20181208_15693_18_12g	Y_20181208_15693_18_1g	Y_20181208_15693_19_4g	Y_20181208_15693_19_8g	Y_20181208_15693_2_2g	Y_20181208_15693_2_8g	Y_20181208_15693_20_1g	Y_20181208_15693_20_3g	Y_20181208_15693_20_4g	Y_20181208_15693_3_4g	Y_20181208_15693_5_6g	Y_20181208_15693_5_9g	Y_20181208_15693_6_4g	Y_20181208_15693_6_8g	Y_20181208_15693_6_9g	Y_20181208_15693_7_11g	Y_20181208_15693_7_6g	Y_20181208_15693_7_7g	Y_20181208_15693_8_11g	Y_20181208_15693_8_12g	Y_20181208_15693_9_8g
1.3342	14967.1328	12834.7578	12547.1152	14992.3828	13210.0928	13890.1934	11910.3682	11569.7715	13248.4033	14316.1738	14328.2939	13386.7861	17656.957	13969.04	11812.9727	12763.3184	14147.3857	13402.7822	15606.7656	14197.2451	22391.3652	10839.96	14390.9297	15902.6699	14695.458	15064.5234	15815.0498	14548.9893	18136.0879	11474.2422	13861.2236	11774.1172	14073.3535	13038.0693	14991.9512	14789.5645	17311.8613	12904.7285	11236.5576	13528.3154	15517.4453	11256.0518	13909.043	13827.0088	12714.3643
1.4676	14647.9414	12508.2549	13768.7881	14679.3779	14354.4736	13828.6387	11895.6357	11853.5137	13090.5889	13329.2324	13345.9062	13837.8008	16533.8516	12667.0273	11099.1846	12814.001	14794.0596	13490.4395	15123.1641	13075.2812	18780.1445	11353.1338	14294.3828	15864.377	16590.4785	13676.3857	15788.335	13664.1016	19307.4727	11682.6758	13597.2197	11857.752	13531.1162	12640.1631	14742.8027	15469.9658	17031.748	14025.791	10957.792	13695.6289	17085.1875	11400.709	15304.126	13624.291	11784.0547
1.6011	14490.6875	11875.248	13739.0635	13163.1992	13724.8779	14557.0674	11524.4189	11708.2461	12552.4883	12796.4551	13302.7207	14422.6045	15079.457	12179.5908	10877.0039	12615.1797	14870.8135	13384.251	16005.9189	12766.2139	18371.7031	11446.5361	14354.1182	16640.0586	16103.8311	13053.6523	15666.6436	13509.1377	20890.7461	12073.4014	12545.9688	13417.8438	14556.6406	11775.9258	15431.7236	16115.5342	16758.166	12378.1318	11759.4365	12903.8545	16460.4414	11554.3486	14340.1211	12344.2217	12576.0605
1.7345	14502.8604	11757.2471	14757.5547	13237.957	14368.8184	13510.3301	11398.1943	12494.1914	13074.1836	12505.584	13334.1006	14783.2676	15525.9854	12316.8174	11600.1621	12042.5576	13946.5234	14396.4629	15950.3447	11978.8672	17644.3398	11256.2744	14813.7285	16695.3184	17253.0938	13898.8066	16488.377	12796.7568	20429.9531	11084.9863	12701.9756	13185.3535	14416.5576	11284.0996	15439.4033	15093.1572	17328.7891	13800.3105	12385.2197	13114.7441	15894.6416	11475.1357	13960.0039	11164.4756	13566.2275
1.8679	14922.1865	13654.958	15432.8545	12068.9609	15248.3213	13400.6709	11218.1865	13172.7422	13417.1748	11448.2266	12124.8633	15195.4912	16761.3555	12442.8594	12571.0205	12367.0029	13131.9229	13090.1797	15608.3926	11971.4463	15592.127	11477.8691	14848.3994	15739.4668	15932.5596	13068.8223	16001.5156	13468.0566	18807.8906	11231	13205	12308.7393	14476.1162	11012.3242	15115.4258	13461.5098	15348.1055	13099.9268	13246.4814	12691.3438	15669.0918	11258.9854	13512.5645	10765.7852	14358.4365
2.0013	14045.0986	14572.8799	15008.6631	12224.0771	16249.3359	13069.6943	10843.3408	15275.957	13997.2871	12402.0342	12779.5137	14994.3691	15747.957	12212.9639	12884.9473	11888.7441	12481.7832	12737.3389	16476.1172	12292.626	13628.918	11139.5283	13320.8457	14226.7285	15660.0186	12084.5186	14356.9053	13211.6045	16507.1406	12081.6426	12737.0986	12127.2568	13881.5713	11420.9902	15004.2109	12583.0684	14514.8916	13093.8213	12921.5859	13558.0029	16076.5107	11012.6025	12693.7822	10249.9805	14621.1006
2.1347	13933.4004	17108.6035	14519.2197	12279.3535	16120.2451	13428.3936	10621.7773	15581.6523	13794.6006	13032.1953	12881.1182	15902.7959	14644.7549	12271.5732	13671.1807	11842.9297	12314.8145	12019.127	16281.0771	12222.8887	12633.1152	11083.8594	13971.3682	12299.7695	15784.6387	11668.1787	13917.2832	12741.3916	13935.1182	11612.0176	11735.3984	11611.998	14314.792	12452.4609	15046.6006	12094.7119	13928.4951	12568.9062	11527.7168	13668.4268	13869.9922	11272.4053	12539.3613	10553.6807	14467.167
2.2682	15060.6455	17430.1953	13817.6709	11706.9688	14998.0498	12323.8164	10562.4619	14696.4492	13566.6855	14159.1738	13130.7676	16287.002	14165.0645	11794.3857	13491.3984	11963.3057	12380.7588	11960.0947	16297.5928	12332.0264	11431.6826	11863.8496	12725.9561	11399.8975	15055.624	11613.8672	13438.5488	12312.583	12518.0332	11883.1475	12095.8682	11187.6494	14223.5195	12733.5615	15160.207	11301.6807	14103.5459	12493.9727	11124.2051	13859.0039	12738.623	12050.584	12020.3301	11241.9453	13729.1553
2.4016	14769.6191	14091.1855	12776.667	12097.8096	13413.3574	11403.4473	10432.3389	12968.6406	12851.4053	14778.9443	12088.9336	15411.2109	14806.4092	11606.5566	13074.0322	12178.0811	12307.9463	13062.835	14528.334	11426.6377	11153.7676	11761.6543	11578.8008	10848.1094	14591.1611	11900.9287	12096.1982	12204.249	12060.5645	11863.0566	12037.3447	11964.5781	13686.7998	13045.6641	13942.9404	11227.9463	13858.3008	12213.9932	11291.2734	12365.8379	11522.4541	12295.6543	11769.4268	11527.7324	13392.2588
2.535	13154.9863	13047.4189	12923.8467	12845.6855	12535.9883	10801.4189	10219.4316	12862.9561	13472.8145	NaN	12104.1318	NaN	14302.4092	11649.415	11753.4551	11627.8896	11869.7051	13926.748	12457.748	11357.5713	11114.96	12026.8682	11785.6172	11319.5996	13203.3389	11933.5752	12881.6104	12771.1797	12313.0273	11907.0264	12167.4961	11920.2197	12173.7354	12148.9473	14257.3486	11453.4424	12865.7939	12386.2441	10927.4141	12384.7451	11074.7178	11505.3008	11539.8711	11109.5322	13697.1426
2.6684	13595.4463	12480.959	12367.3613	11954.8809	11635.5684	11322.0352	9919.3447	13046.8291	12843.0791	NaN	11271.6084	NaN	13404.4395	11866.3125	11360.2959	11800.7803	11958.8955	14417.2949	12293.5537	11809.6318	11237.0508	12236.3604	12062.6934	10860.7939	12462.6582	11793.3906	13272.0273	13664.8291	12061.1182	12020.1143	12664.6436	12117.6836	12105.2031	12039.3291	13565.0088	11264.5781	12247.6406	12809.3164	11269.9482	12615.0029	10807.7275	11502.7188	12378.2979	10663.2471	12998.8652
2.8019	12817.4131	11672.0449	12849.752	11753.4834	11376.0742	11008.1113	9968.627	13212.5049	12923.1426	NaN	11654.4326	NaN	13433.3721	12433.3828	11726.7324	12413.6689	11460.2012	14394.8428	12172.5918	12035.1699	11824.9033	11871.1738	11122.8594	11745.2139	12782.2744	12062.167	13711.4238	14355.4521	11845.3799	11645.3652	12233.3174	11728.9775	11954.1289	12011.4678	13008.9258	NaN	NaN	11539.5	10890.1221	14009.166	11127.6387	11309.8447	11369.1133	10257.9473	12954.6963
2.9353	12768.6426	11711.8408	12734.7021	12332.9736	11692.9023	11046.6777	9787.8506	NaN	12944.1582	NaN	11646.4316	NaN	11790.1719	NaN	12138.4873	12182.0244	12184.2803	13591.8105	11513.9893	11037.0586	11665.667	11543.2227	10988.8799	11591.6133	13568.0605	12329.6484	13903.7803	NaN	11645.6318	11518.3135	12308.751	11806.5166	12033.9922	11718.2734	12628.1025	NaN	NaN	NaN	11318.8311	NaN	11149.9434	NaN	11163.5	NaN	12513.4541
3.0687	12280.9854	12119.79	13501.709	12271.9297	NaN	NaN	9376.3096	NaN	NaN	NaN	NaN	NaN	11177.2031	NaN	11813.3037	12465.3496	12384.8389	12738.915	11469.3926	11561.2764	NaN	11316.7734	NaN	NaN	12442.6494	11663.6455	14912.751	NaN	11999.4326	11718.8389	11832.7705	11911.4453	12438.5605	12229.8525	11849.3818	NaN	NaN	NaN	NaN	NaN	11513.5537	NaN	NaN	NaN	12055.3115
3.2021	12294.4443	12286.0938	12379.0049	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11524.5752	NaN	NaN	12469.6201	12195.6816	NaN	NaN	NaN	NaN	11486.7256	NaN	NaN	11984.04	11486.4014	NaN	NaN	NaN	NaN	NaN	NaN	12519.0479	12118.2891	11343.5625	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12293.8154
3.3355	12508.0586	12079.1465	12549.5098	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12025.6543	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12219.3838	11677.3672	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11387.793	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	12106.9785	12572.4727	12503.0684	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12217.7812	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11811.2744	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	12162.5713	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	12078.6768	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.4703	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.6037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.7371	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.8706	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
