x	Y_20181208_15693b_1_1g	Y_20181208_15693b_1_6g	Y_20181208_15693b_10_8g	Y_20181208_15693b_11_13g	Y_20181208_15693b_11_9g	Y_20181208_15693b_12_12g	Y_20181208_15693b_12_6g	Y_20181208_15693b_13_10g	Y_20181208_15693b_13_13g	Y_20181208_15693b_13_17g	Y_20181208_15693b_2_11g	Y_20181208_15693b_2_12g	Y_20181208_15693b_2_14g	Y_20181208_15693b_2_5g	Y_20181208_15693b_2_9g	Y_20181208_15693b_3_16g	Y_20181208_15693b_4_8g	Y_20181208_15693b_5_12g	Y_20181208_15693b_5_7g	Y_20181208_15693b_6_12g	Y_20181208_15693b_6_6g	Y_20181208_15693b_7_1g	Y_20181208_15693b_7_7g	Y_20181208_15693b_8_11g	Y_20181208_15693b_8_17g	Y_20181208_15693b_9_10g	Y_20181208_15693b_9_2g	Y_20181208_15693b_9_3g
1.3342	16915.2754	16992.6152	21434.0078	11296.6201	13813.7588	16938.7852	13504.2656	16836.6309	15466.8232	16206.6016	12948.832	11913.29	13215.5127	13082.8125	12912.6055	13442.042	15185.9219	13023.332	13689.2881	12201.5303	11691.5996	13602.9961	15514.8926	11845.2754	11524.1436	12892.5586	14928.1016	13831.543
1.4676	16264.8506	16483.4434	19410.0723	11505.9756	14287.9531	16450.3887	12161.1543	16067.1973	15031.6504	14641.1943	13038.5625	11765.4697	12096.2441	12764.124	12688.2236	13388.9746	14287.6523	12534.4355	13299.5518	12136.957	11643.0449	13592.9355	15468.2002	12323.9678	11187.8857	12196.5244	14102.1641	12972.3438
1.6011	16020.5176	14423.8291	17088.6445	12029.0225	13330.1719	14768.457	11486.4375	15462.7646	14275.9199	13193.0156	12983.0664	11045.9482	12335.2178	12593.5908	13167.4873	13387.5781	14131.2568	12540.79	12907.5439	12111.1729	11923.2764	12786.1172	14066.5156	11847.4912	10933.4492	11730.9219	12284.707	12860.3672
1.7345	16016.7549	14062.7412	15417.2422	11353.9258	13113.4551	13130.8232	11352.9785	14326.9756	13791.5684	12524.1113	11943.7178	9697.8584	13116.7168	12708.3311	12883.8857	12836.666	13282.7305	12902.8105	12804.0312	12303.9443	11099.3271	12836.4131	13249.8359	12014.6357	10780.6025	11632.3857	11521.1045	12614.9551
1.8679	13944.6865	13213.0098	14704.6758	NaN	12517.5703	12450.4531	11499.4736	14262.0215	12574.3164	12513.5635	12623.1445	9738.5713	12577.8848	12539	12271.6426	12690.2051	13013.6826	12990.3574	12283.0674	12250.874	10974.4023	12715.4326	12852.4805	12246.3359	10874.6748	11997.7217	11463.8467	12800.8057
2.0013	13092.8945	12365.9492	13764.291	NaN	12406.0156	12049.9521	11530.9951	13807.3594	12530.2285	12919.9326	12246.3193	9762.4424	12873.9912	NaN	11517.3691	13531.3457	12079.4473	12778.7852	12460.0723	12148.3359	NaN	12514.1133	13051.4619	12496.9072	10586.8076	NaN	11233.4023	11656.4502
2.1347	12498.0908	12060.0137	13481.4521	NaN	13203.3662	11934.1689	11383.582	13081.1807	12755.7305	12094.9014	NaN	9614.752	NaN	NaN	10818.1865	NaN	11656.4561	13224.5342	12733.5986	12265.6602	NaN	12655.9658	11953.1758	12077.4258	NaN	NaN	10785.2393	NaN
2.2682	11859.7734	NaN	13473.2256	NaN	NaN	11714.3936	11703.0342	12082.874	NaN	12530.6699	NaN	9982.835	NaN	NaN	NaN	NaN	11659.2705	NaN	NaN	11947.1719	NaN	12873.6934	12011.3154	12659.6787	NaN	NaN	10747.4727	NaN
2.4016	11562.1553	NaN	NaN	NaN	NaN	11419.5322	11753.4229	11469.6865	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12019.6357	NaN	NaN	NaN	NaN	13167.8398	11547.9785	12428.917	NaN	NaN	NaN	NaN
2.535	11515.4824	NaN	NaN	NaN	NaN	11153.374	11465.2998	11495.9297	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12088.3555	NaN	NaN	NaN	NaN	NaN	NaN	12798.2002	NaN	NaN	NaN	NaN
2.6684	NaN	NaN	NaN	NaN	NaN	10892.9043	NaN	11664.8594	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.8019	NaN	NaN	NaN	NaN	NaN	11522.7959	NaN	11267.6963	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11546.6807	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
