x	Y_20181208_15100_1_3g	Y_20181208_15100_1_5g	Y_20181208_15100_10_2g	Y_20181208_15100_13_1g	Y_20181208_15100_13_6g	Y_20181208_15100_14_2g	Y_20181208_15100_15_2g	Y_20181208_15100_15_4g	Y_20181208_15100_15_7g	Y_20181208_15100_16_3g	Y_20181208_15100_17_1g	Y_20181208_15100_17_7g	Y_20181208_15100_18_1g	Y_20181208_15100_18_5g	Y_20181208_15100_18_6g	Y_20181208_15100_19_1g	Y_20181208_15100_19_2g	Y_20181208_15100_19_6g	Y_20181208_15100_2_3g	Y_20181208_15100_21_1g	Y_20181208_15100_25_1g	Y_20181208_15100_3_4g	Y_20181208_15100_5_10g	Y_20181208_15100_5_3g	Y_20181208_15100_5_5g	Y_20181208_15100_6_7g	Y_20181208_15100_7_9g	Y_20181208_15100_8_5g	Y_20181208_15100_8_6g	Y_20181208_15100_9_1g
0	28670.8242	31550.6016	29120.4746	27442.6289	30129.1777	30050.4727	30544.0215	33490.8125	30887.6445	28454.8555	28736.3945	30151.8418	33694.332	30025.6426	32269.5703	28319.3262	28945.7949	31717.043	31593.8203	32476.4668	26869.4219	31248.5781	30543.1348	27093.9824	30962.1973	27402.8906	31472.8672	25687.8945	30551.5332	28800.8516
0.1334	28299.2441	29969.3633	28393.6113	27376.0898	30462.002	30727.0996	30942.2266	34240.8789	30871.4531	30296.5449	28885.7559	28242.1211	32725.7402	29832.4434	32517.9062	28450.7246	30579.4688	30815.4766	32488.8066	30549.334	26617.1289	32106.6211	31190.8828	28096.1738	32821.0273	26084.0625	31598.4688	26283.0742	29989.7246	28531.3594
0.2668	28832.7832	31695.3652	27705.5273	26042.3574	30982.8418	30790.7305	32302.2363	33791.6094	31342.0215	29650.6484	30106.6172	28764.2852	32503.6348	30651.0156	32938.6016	27849.3008	29598.2402	31254.9453	33743.3164	30947.2363	26326.7656	30682.0859	32731.7402	29610	32932.1641	27100.3477	31872.9648	25186.8672	30353.8906	27835.957
0.4003	28745.1289	30876.4395	28593.2207	26383.5059	30062.1719	30143.2344	31236.0645	31964.3945	31354.5215	29960.4824	28835.1289	28689.9375	31635.2832	30438.0879	33587.7734	28762.9512	30747.5273	31619.6797	32432.1875	32374.9629	27505.1113	31379.6191	32859.3008	28963.4082	32170.5117	26762.0449	31784.4492	26087.4824	30041.2617	27693.6562
0.5337	27363.5215	29346.4668	28491.2188	25964.7227	30855.0508	31154.9277	29720.7852	34425.4023	31362.6035	30231.2773	28365.4004	27431.4375	32595.4492	32410.3125	33786.5664	28216.0762	30416.1152	30996.2031	33046.9297	31791.1973	26716.4199	31330.4902	32057.1523	28530.2168	32460.5488	27748.7559	31108.9609	24998.1465	29802.293	27643.9473
0.6671	27251.4453	30999.6445	28310.9316	26985.6387	31688.1934	30370.2539	30694.0273	33883.7578	31811.625	31160.5879	29311.7969	27336.7461	31784.8184	31904.1016	33771.1758	27622.9102	30944.5859	29957.3477	32709.1328	30257.6523	27861.8809	31525.2715	31583.7754	28132.0527	32625.8184	24569.8867	31384.8555	26261.6543	30316.1406	28227.4512
0.8005	28027.5801	31968.0098	29070.0137	26431.1035	30312.5703	30578.5176	31795.2539	34704.6094	31187.4453	30653.6719	28835.4961	28246.5957	32784.668	30500.0605	33742.0977	28325.2891	30424.1641	31012.6309	33350.8047	29690.3984	27374.5762	31864.5527	31129.4961	27837.0527	32750.3535	26339.5	30448.9238	25448.752	29875.2617	29225.7266
0.934	28724.0137	29801.6582	27720.4551	26662.8223	30138.2773	30893.043	32306.1035	35763.4062	31467.9863	32230.2324	27517.5254	28149.3125	32290.9141	31079.9844	34405.6562	28404.8418	30088.293	31418.3125	32050.5742	30858.8281	28466.3086	32030.3652	31022.2324	27098.334	31835.4551	27157.7285	29579.4492	25989.5547	30815.5508	28759.3438
1.0674	28970.0762	30648.7324	28618.2109	26231.707	32234.2422	32540.0586	31588.8809	34630.3516	30188.0801	33731.4844	28295.4766	27799.8945	33046.8438	31478.6641	34528.8594	28407.5156	29399.9785	30766.6562	32597.752	30490.2812	28601.5898	33438.8359	31774.5352	27138.5625	33281.7266	26874.9395	29051.498	26976.2109	29457.1758	28086.582
1.2008	32054.166	31472.3652	30985.9492	27163.3438	32190.0801	33211.6562	31888.8984	35365.6523	30937.8867	35767.5742	28861.7109	28814.4414	32538.7188	30420.0527	34361.6641	28705.6855	29155.1758	31385.7715	32811.6836	30013.9102	28287.5996	33364.5859	30614.0586	28399.7871	33089.3008	26993.0449	29219.9277	28578.7383	29897.0234	28876.8574
1.3342	34531.4805	32101.4316	33920.4297	28089.5	33781.0625	35454.0781	32352.3633	38569.1328	32293.6875	36759.25	30703.0137	28996.4414	34683.6992	31245.6172	33036.7344	28387.1562	31545.5332	29813.8359	35017.8125	30944.8379	28729.0664	33574.1211	29975.1738	28627.4512	31069.3945	26367.2246	29569.5742	30902.2832	29235.832	27408.293
1.4676	39705.6719	31415.6309	43454.3906	29019.8887	40551.8164	40353.4219	32569.3145	46271.1758	32902.0781	41914.0977	37993.4297	31748.5234	36347.4922	33330.9258	33943.5469	29617.6055	31954.4316	30145.9121	42601.5938	31303.457	33207.5938	33783.5195	30397.1328	28872.4395	31652.9238	28352.6699	29771.4844	36694.1875	30665.1758	29743.8574
