x	Y_20181208_15692_33_6g	Y_20181208_15692_36_6g	Y_20181208_15692_37_21g	Y_20181208_15692_39_6g	Y_20181208_15692_40_18g	Y_20181208_15692_41_12g	Y_20181208_15692_41_5g	Y_20181208_15692_42_17g	Y_20181208_15692_43_7g	Y_20181208_15692_44_1g	Y_20181208_15692_44_5g	Y_20181208_15692_8_2g	Y_20181208_15692_8_4g	Y_20181208_15692b_12_14g	Y_20181208_15692b_12_4g	Y_20181208_15692b_14_4g	Y_20181208_15692b_2_6g	Y_20181208_15692b_7_7g	Y_20181208_15692b_8_5g
1.7345	29430.3164	28567.0312	33228.082	30217.6875	30283.4766	25950.752	29771.5938	26587.4297	27995.7188	26742.373	26903.5859	29453.4102	24983.1074	31431.8203	26718.1172	30407.4277	31539.6367	29117.9336	28970.4902
1.8679	28258.584	27201.6895	33198.5547	30298.6992	31012.5938	28046.3535	29876.0137	26787.5371	27286.873	26934.2266	26272.1953	29556.4219	24554.4551	32139.918	26465.4629	30089.7461	30460.2949	29064.9219	28430.3105
2.0013	27550.7578	26990.9688	33305.8867	31759.5586	29877.8379	28539.0234	29662.2441	26780.1543	28738.4375	25446.127	27464.1914	30183.0078	26111.4043	32555.3906	26475.3203	30113.3984	30413.1777	30550.5449	28710.8516
2.1347	30582.1816	28064.4531	32634.3301	30828.3145	31422.6484	26685.1582	30356.9766	26748.9141	28692.9473	25066.2656	27567.2949	29735.6543	26660.4316	31375.0391	26323.3633	31267.3574	30101.6836	29969.418	27654.291
2.2682	29960.9648	27299.6387	32337.1387	29624.793	31300.7559	27098.7168	30299.8672	27585.4785	29103.5742	26695.5664	26822.1367	30244.7246	25787.5059	32170.0645	27758.1016	32433.7871	29841.1562	31559.1523	28049.5938
2.4016	29423.7285	27499.8047	31900.3828	29633.4902	30773.5254	27400.6914	30976.1406	26850.8223	28986.0137	26730.8652	27376.5684	31835.4668	25787.7715	33365.5898	27316.8281	33284.3906	30625.6348	30190.0117	28773.1152
2.535	29261.6016	28026.7285	33459.6094	30557.2461	30600.6543	26484.0039	32342.2891	28327.1582	29508.1211	28666.4512	28122.3906	33991.6484	25695.6934	34065.293	28158	33510.6016	29643.6738	30020.8691	28413.6895
2.6684	30092.0469	28321.9707	33324.8008	32296.1113	31865.8945	25331.4961	34892.4414	28628.125	31084.4199	29357.7754	28078.6836	38603.4531	28279.2441	36273.4531	29454.5898	35942.9453	28943.0781	32132.7793	28797.0352
2.8019	31009.0723	30766.2441	33501.918	31478.041	34342.0859	27699.8848	40318.207	29028.498	31326.8828	30010.4297	33375.9531	52867.7852	29871.2324	42521.6328	33438.7383	43953.6406	29321.0605	36147.7812	29796.8613
2.9353	30386.1172	34258.1367	34513.6289	34587.8867	37642.5117	27125.7676	49834.2383	29066.0254	33435.3594	31615.0684	41338.5039	71872.7969	36293.3516	55049.0625	46907.8789	65109.8125	29716.1699	42890.7656	32529.8945
3.0687	33219.5938	42458.957	36245.6523	43498.9531	53590.3906	30845.8145	57573.1016	30050.1035	42524.7891	33744.8984	52491.625	69921.2422	44923.2852	83153.2344	67859.1641	94718.3672	32346.5117	50540.9453	37266.7305
3.2021	42579.1641	50419.957	36211.3867	53972.7773	83748.9844	38713.7695	51907.5938	31603.1348	62119.707	38783.4609	56940.793	49844.832	41667.7969	103030.1875	73574.8281	94920.4062	37471	49304.9297	48242.1055
3.3355	56685.0547	51158.832	39148.1602	53463.7578	103070.1172	47300.0547	41212.8672	34630.9766	78783.5	43332.8164	44168.8594	38350.082	34291.0391	82694.1641	56971.6016	68557.0234	50250.0352	41613.5234	53728.8242
3.469	61722.3633	42103.2812	46757.8594	44385.5078	85551.0781	47728.2695	35595.6719	41550.3047	69025.6094	38471.0156	33466.8203	NaN	28325.8262	58933.0195	40912.332	48442.543	58627.418	40190.2344	50933.8555
3.6024	48941.4141	35289.9883	63716.0352	39309.3828	54617.7305	38234.3203	35387.4375	56181.6875	46848.5117	32746.2969	28725.1016	NaN	27596.1484	44062.7461	36110.1758	38168.5352	52397.2734	48298.7422	48303.2969
3.7358	37030.0781	32459.7676	82502.2344	41241.8125	40046.9062	32416.6992	37278.0352	63172.0352	36070.3828	28087.877	27836.3691	NaN	28125.8984	35981.3164	34098.9531	34115.3242	42390.668	NaN	53113.8086
3.8692	31231.2148	NaN	75993.6797	NaN	35452.918	29435.6426	NaN	47863.8906	32740.0664	27534.541	27733.1152	NaN	26125.0195	32256.0898	38468.8555	33144.8242	35887.3633	NaN	NaN
4.0027	29959.9844	NaN	56200.4414	NaN	33157.4609	29859.3203	NaN	36273.9453	30646.1582	26983.4414	NaN	NaN	24494.166	33231.7148	NaN	33228.2227	33758.4727	NaN	NaN
4.1361	NaN	NaN	41417	NaN	32961.6523	31045.9805	NaN	30979.3613	NaN	26261.4453	NaN	NaN	NaN	32882.7109	NaN	32125.7246	32128.3555	NaN	NaN
4.2695	NaN	NaN	35344.3008	NaN	33590.0859	NaN	NaN	30485.877	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	34012.3711	NaN	30680.8047	NaN	NaN	28915.6445	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
