x	Y_20181208_15692_32_1g	Y_20181208_15692_32_7g	Y_20181208_15692_33_11g	Y_20181208_15692_33_14g	Y_20181208_15692_33_4g	Y_20181208_15692_33_6g	Y_20181208_15692_34_3g	Y_20181208_15692_36_11g	Y_20181208_15692_36_3g	Y_20181208_15692_37_14g	Y_20181208_15692_37_18g	Y_20181208_15692_37_4g	Y_20181208_15692_38_14g	Y_20181208_15692_38_9g	Y_20181208_15692_39_10g	Y_20181208_15692_39_13g	Y_20181208_15692_39_8g	Y_20181208_15692_40_13g	Y_20181208_15692_40_4g	Y_20181208_15692_42_11g	Y_20181208_15692_42_1g	Y_20181208_15692_43_2g	Y_20181208_15692_43_8g	Y_20181208_15692_44_11g	Y_20181208_15692_44_15g	Y_20181208_15692_44_16g	Y_20181208_15692_44_4g	Y_20181208_15692_45_12g	Y_20181208_15692_46_14g	Y_20181208_15692_46_23g	Y_20181208_15692_46_3g	Y_20181208_15692_47_11g	Y_20181208_15692_47_12g	Y_20181208_15692_47_1g	Y_20181208_15692_6_1g	Y_20181208_15692_7_11g	Y_20181208_15692_7_1g	Y_20181208_15692_7_7g	Y_20181208_15692_8_10g	Y_20181208_15692_8_5g	Y_20181208_15692_8_8g	Y_20181208_15692b_10_6g	Y_20181208_15692b_11_10g	Y_20181208_15692b_11_11g	Y_20181208_15692b_11_14g	Y_20181208_15692b_11_17g	Y_20181208_15692b_11_20g	Y_20181208_15692b_11_3g	Y_20181208_15692b_11_6g	Y_20181208_15692b_12_7g	Y_20181208_15692b_12_8g	Y_20181208_15692b_13_5g	Y_20181208_15692b_16_8g	Y_20181208_15692b_17_1g	Y_20181208_15692b_17_5g	Y_20181208_15692b_2_6g	Y_20181208_15692b_5_3g	Y_20181208_15692b_6_2g	Y_20181208_15692b_6_4g	Y_20181208_15692b_7_5g	Y_20181208_15692b_8_6g	Y_20181208_15692b_9_5g
1.3342	84778.1094	33117.5352	34845.1289	67463.75	46568.9883	30922.3613	31141.3477	31254.0996	31745.8594	34226.3438	34372.6172	31376.1641	42606.6562	27902.793	78702.3359	37391.1836	44374.1562	33209.582	31439.6426	34937.918	33820.3164	31546.6133	29672.5137	32124.1367	56217.9453	32506.9609	30175.7148	33016.1953	35025.7617	32207.7637	50556.9727	50489.0508	56529.2617	30951.0117	29018.5137	40977.957	28261.6309	47673.8828	41575.1719	54762.2773	36047.6367	99117.7266	33186.3516	35639.2773	48524.293	29742.3848	39930.8242	33831.6992	63439.4688	37622.2227	30451.6797	47425.043	34201.6406	38610.293	32749.8809	34235.1445	39544.582	60012.9492	35217.0039	37017.8164	44032.3438	31192.4375
1.4676	88188.3359	36393.4922	40338.4961	77687.3125	64448.3438	36319.8789	33903.207	34139.4531	32451.3887	36629.8359	38549.2734	37335.8438	51552.2266	28965.6953	105946.6562	40602.2656	55515.7461	39968.5273	32036.1758	40644.6953	42677.8125	36147.2031	33701.0977	32444.0527	85050.4141	35983.7031	34696.8242	35376.625	41754.5078	36640.5781	63444.25	66282.5938	80461.2969	36860.6797	31036.8945	53913.8789	29782.3652	46199.3008	52906.4023	56650.7656	37719.4062	97279.0078	35637.668	33702.1719	50173.5156	30642.0059	52891.418	46533.3359	82509.9844	49532.25	31813.3848	41117.8359	43706.4805	50948.9844	32652.7207	37925.1211	43869.5	75315.3047	44397.3086	39155.8594	62578.668	32251.373
1.6011	61442.1719	42610.9961	48285.3438	66706.7812	77681.3438	41176.582	38631.2227	46467.1094	32296.4863	41960.8086	44436.0117	45545.332	60517.0352	32323.0469	107368.2031	47220.3281	59932.2266	50706.8867	32440.5801	50480.6992	43313.0156	42424.2852	36775.8828	35215.8125	100134.7578	42865.6836	44202.4453	39718.0781	48157.9141	41944.8672	58434.3789	68057.5312	93302.8438	56510.1445	35309.9961	66943.0234	31921.9785	38898.0195	53552.0586	46830.9648	44028.5078	62244.207	37794.3164	32359.0469	40406.6133	35771.4609	71812.6719	50922.0234	76966.9688	63222.0234	33041.6094	35270.1172	58690.7422	66603.6094	32956.1133	51282.6602	56949.3945	66344.6328	51410.5234	45833.3242	83550.1094	34245.9727
1.7345	40879.6719	55801.9375	64695.1445	47669.918	68964.3281	40971.6172	52894.4922	54279.8945	33499.4805	52371.3164	47189.0859	43429.6367	55599.0898	44163.5938	87217.0938	63729.3008	47699.0195	62314.6602	34815.4648	60491.6641	34056.5547	40829.3633	52244.7305	43932.9961	69742.8125	62055.1797	49876.1602	54235.5547	45736.5391	50802.4648	42419.1602	54127.1641	70633.6328	75846.5469	48216.207	61444.4688	38408.3867	39674.1992	44778.3008	37127.25	53255.1484	49224.75	46770.207	32882.6875	34674.6562	42664.043	76814.9844	53079.4961	55992.9688	62135.0508	38023.9258	31205.0391	61290.5391	64018.8984	33231.7266	73105.1562	73356.0625	47851.9648	44537.7227	56401.5781	79715.2031	37182.2109
1.8679	33378.2148	57651.7656	78557.0938	40503.7891	49037.5273	34551.6719	62432.4453	48237.1055	39230.0508	53793.293	41389.418	36064.2812	43458.1211	50355.6758	NaN	81462.1406	38408.0938	57870.5586	37620.7109	56140.9492	29151.3438	34287.6914	63757.5078	60819.9922	47461.832	82127.0859	40623.9141	73989.2188	37866.9492	46846.1875	34221.9258	42211.4492	50976.3008	77226.6797	60385.4805	44797.8516	53005.1758	37340.2031	38065.3281	33057.8242	56556.5664	NaN	58255.4336	32063.2168	30224.1328	40779.6172	59812.8867	42873.2617	42302.5625	48826.7812	48170.2344	30949.332	46628.3164	46669.8125	34325.5938	85117.2344	72975.9062	35459.7852	37440.4688	62313.6094	54877.9023	42044.4766
2.0013	31473.6777	46139.2656	68007.5703	36512.2969	40017.6328	31072.4336	56316.9453	35964.7031	47695.7031	42122.8828	35759.668	29732.2441	43402.9141	46121.3672	NaN	77312.2344	33452.2773	43765.4844	42174.5	46654.8516	27236.0449	30125.3594	58131.332	74904.5312	40781.6758	78095.8359	33348.4922	75467.4766	32096.8027	40371.0742	30043.6758	39798.5586	38844.6133	55655.5195	54718.2852	38055.6289	58704.7148	34921.082	35384.4219	NaN	46956.3789	NaN	57596.4062	NaN	28738.0625	33006.1523	43718.1133	35774.0469	35658.082	37255.5664	63082.9258	30817.5605	34796.875	37236.4922	35934.2852	69955.6016	54807.1797	34152.8984	32373.3848	52074.1875	42734.4258	55269.1445
2.1347	32088	37676.4531	50294.8398	34491.082	35779.5273	29344.4707	42735.5234	30339.6367	49831.7109	34050.2266	31971.8594	29946.6406	NaN	35294.6914	NaN	53847.5859	NaN	36682.1211	44755.3047	48531.8086	NaN	29524.4805	41174.4844	64606.2734	38643.3984	55659.9336	29614.2969	53202.8398	31857.123	36174.3828	29854.0996	46284.1055	35214.1992	38459.2695	40806.4805	36648.4414	49454.4531	NaN	32711.3379	NaN	39135.8633	NaN	46288.2031	NaN	NaN	29080.6426	36257.7148	33848.043	33271.9609	33320.9961	62245.0898	NaN	31294.1016	33134.832	37039.0898	47016.3398	39488.0508	33688.9062	NaN	41986.8555	37409.0234	59765.5859
2.2682	NaN	32303.8027	39680.0469	NaN	NaN	27687.3633	38344.3906	27700.1836	41963.9609	32316.1719	31380.7734	NaN	NaN	30043.3809	NaN	40973.1484	NaN	33997.6055	40258.0469	55280.8672	NaN	NaN	34665.6641	48119.2734	NaN	41498.5781	27382.293	42139.1641	31876.7305	34116.1875	NaN	NaN	33963.8789	33035.832	31278.5918	34664.4766	36441.8281	NaN	NaN	NaN	36829.6094	NaN	37170.9453	NaN	NaN	27069.1602	31556.8477	NaN	34996.0547	32303.3828	45378.4961	NaN	31131.7031	33589.7852	33490.9062	38624.5117	37936.0273	NaN	NaN	36972.1055	35755.2383	50851.5469
2.4016	NaN	30562.7148	35871.0781	NaN	NaN	NaN	37302.4883	NaN	35704.7422	NaN	31169.4785	NaN	NaN	28811.0566	NaN	36729.6289	NaN	32080.8633	38454.9531	NaN	NaN	NaN	31566.2715	39866.3711	NaN	36102.7031	25570.127	37197.7148	NaN	33332.3633	NaN	NaN	NaN	30587.3652	28995.7031	NaN	29572.5312	NaN	NaN	NaN	34734.1602	NaN	33399.6094	NaN	NaN	NaN	NaN	NaN	NaN	31949.166	35654.3086	NaN	NaN	NaN	31426.0371	34848.7539	32958.9336	NaN	NaN	34444.2109	35724.9375	40856.293
2.535	NaN	30108.002	36044.3164	NaN	NaN	NaN	NaN	NaN	31695.0645	NaN	NaN	NaN	NaN	27213.5449	NaN	35863.0195	NaN	30622.5723	35583.9375	NaN	NaN	NaN	30822.9082	38707.1211	NaN	33878.6836	NaN	33808.2656	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28382.8203	NaN	NaN	NaN	34079.1602	NaN	32670.4883	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30876.3008	NaN	NaN	NaN	33052	32647.082	33584.5	NaN	NaN	32607.2988	NaN	35212.5195
2.6684	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34340.9219	NaN	NaN	32411.1758	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28247.4746	NaN	NaN	NaN	NaN	NaN	32800.3906	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31693.0977	NaN	NaN	NaN	NaN	30827.3594	33741.2266	NaN	NaN	NaN	NaN	32827.8594
2.8019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33918.543	NaN	NaN	31732.9492	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31504.4785	NaN	NaN	NaN	NaN	NaN	32164.2129
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32702.4922	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
